
Quadro extraído em 11 de Dezembro de 2025 (09:33:44)
http://www.ine.pt



Local de residência (NUTS - 2024);Beneficiárias/os de subsídios de desemprego, da segurança social (N.º) por Local de residência (NUTS - 2024) e Grupo etário -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Grupo etário;
;Total;
;N.º ;
PT: Portugal;346058;
1: Continente;331133;
11: Norte;123256;
111: Alto Minho;5820;
1111601: Arcos de Valdevez;361;
1111602: Caminha;396;
1111603: Melgaço;61;
1111604: Monção;351;
1111605: Paredes de Coura;291;
1111606: Ponte da Barca;195;
1111607: Ponte de Lima;850;
1111608: Valença;478;
1111609: Viana do Castelo;2543;
1111610: Vila Nova de Cerveira;294;
112: Cávado;12080;
1120301: Amares;521;
1120302: Barcelos;2954;
1120303: Braga;6397;
1120306: Esposende;822;
1120310: Terras de Bouro;264;
1120313: Vila Verde;1122;
119: Ave;16946;
1190304: Cabeceiras de Basto;453;
1190307: Fafe;2182;
1190308: Guimarães;7343;
1191705: Mondim de Basto;128;
1190309: Póvoa de Lanhoso;546;
1190311: Vieira do Minho;374;
1190312: Vila Nova de Famalicão;4679;
1190314: Vizela;1241;
11A: Área Metropolitana do Porto;65502;
11A0104: Arouca;479;
11A0107: Espinho;1077;
11A1304: Gondomar;6218;
11A1306: Maia;4675;
11A1308: Matosinhos;6400;
11A0113: Oliveira de Azeméis;2426;
11A1310: Paredes;2919;
11A1312: Porto;8830;
11A1313: Póvoa de Varzim;2375;
11A0109: Santa Maria da Feira;5144;
11A1314: Santo Tirso;2863;
11A0116: São João da Madeira;1126;
11A1318: Trofa;1586;
11A0119: Vale de Cambra;596;
11A1315: Valongo;3521;
11A1316: Vila do Conde;3193;
11A1317: Vila Nova de Gaia;12074;
11B: Alto Tâmega e Barroso;1731;
11B1702: Boticas;63;
11B1703: Chaves;837;
11B1706: Montalegre;136;
11B1709: Ribeira de Pena;147;
11B1712: Valpaços;233;
11B1713: Vila Pouca de Aguiar;315;
11C: Tâmega e Sousa;14353;
11C1301: Amarante;1688;
11C1302: Baião;414;
11C0106: Castelo de Paiva;404;
11C0305: Celorico de Basto;461;
11C1804: Cinfães;610;
11C1303: Felgueiras;2819;
11C1305: Lousada;1932;
11C1307: Marco de Canaveses;1704;
11C1309: Paços de Ferreira;2023;
11C1311: Penafiel;2074;
11C1813: Resende;224;
11D: Douro;4820;
11D1701: Alijó;217;
11D1801: Armamar;151;
11D0403: Carrazeda de Ansiães;98;
11D0404: Freixo de Espada à Cinta;47;
11D1805: Lamego;829;
11D1704: Mesão Frio;75;
11D1807: Moimenta da Beira;262;
11D1707: Murça;128;
11D1812: Penedono;40;
11D1708: Peso da Régua;393;
11D1710: Sabrosa;136;
11D1711: Santa Marta de Penaguião;167;
11D1815: São João da Pesqueira;106;
11D1818: Sernancelhe;79;
11D1819: Tabuaço;117;
11D1820: Tarouca;202;
11D0409: Torre de Moncorvo;170;
11D0914: Vila Nova de Foz Côa;109;
11D1714: Vila Real;1494;
11E: Terras de Trás-os-Montes;2004;
11E0401: Alfândega da Fé;103;
11E0402: Bragança;746;
11E0405: Macedo de Cavaleiros;245;
11E0406: Miranda do Douro;53;
11E0407: Mirandela;478;
11E0408: Mogadouro;129;
11E0410: Vila Flor;107;
11E0411: Vimioso;48;
11E0412: Vinhais;95;
19: Centro;46294;
191: Região de Aveiro;11775;
1910101: Águeda;1279;
1910102: Albergaria-a-Velha;723;
1910103: Anadia;766;
1910105: Aveiro;2774;
1910108: Estarreja;903;
1910110: Ílhavo;1341;
1910112: Murtosa;325;
1910114: Oliveira do Bairro;721;
1910115: Ovar;2180;
1910117: Sever do Vouga;192;
1910118: Vagos;571;
192: Região de Coimbra;11781;
1920601: Arganil;233;
1920602: Cantanhede;916;
1920603: Coimbra;3863;
1920604: Condeixa-a-Nova;431;
1920605: Figueira da Foz;2056;
1920606: Góis;58;
1920607: Lousã;465;
1920111: Mealhada;649;
1920608: Mira;346;
1920609: Miranda do Corvo;274;
1920610: Montemor-o-Velho;674;
1921808: Mortágua;199;
1920611: Oliveira do Hospital;507;
1920612: Pampilhosa da Serra;41;
1920613: Penacova;239;
1920614: Penela;83;
1920615: Soure;343;
1920616: Tábua;237;
1920617: Vila Nova de Poiares;167;
193: Região de Leiria;8279;
1931002: Alvaiázere;75;
1931003: Ansião;208;
1931004: Batalha;454;
1931007: Castanheira de Pêra;62;
1931008: Figueiró dos Vinhos;86;
1931009: Leiria;3872;
1931010: Marinha Grande;1932;
1931013: Pedrógão Grande;53;
1931015: Pombal;939;
1931016: Porto de Mós;598;
