
Quadro extraído em 09 de Dezembro de 2025 (18:31:20)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Custos com o pessoal (?) nos estabelecimentos de bancos e caixas económicas por Localização geográfica (NUTS - 2024) -  Anual;
;Período de referência dos dados;
;2023;
;? (milhares);
PT: Portugal;2581067;
1: Continente;2537701;
11: Norte;469022;
111: Alto Minho;16799;
1111601: Arcos de Valdevez;1814;
1111602: Caminha;1342;
1111603: Melgaço;? ?;
1111604: Monção;1860;
1111605: Paredes de Coura;? ?;
1111606: Ponte da Barca;? ?;
1111607: Ponte de Lima;2604;
1111608: Valença;1821;
1111609: Viana do Castelo;6083;
1111610: Vila Nova de Cerveira;? ?;
112: Cávado;30283;
1120301: Amares;? ?;
1120302: Barcelos;6870;
1120303: Braga;18276;
1120306: Esposende;? ?;
1120310: Terras de Bouro;? ?;
1120313: Vila Verde;2470;
119: Ave;29405;
1190304: Cabeceiras de Basto;833;
1190307: Fafe;2628;
1190308: Guimarães;11843;
1191705: Mondim de Basto;? ?;
1190309: Póvoa de Lanhoso;1292;
1190311: Vieira do Minho;? ?;
1190312: Vila Nova de Famalicão;9987;
1190314: Vizela;1895;
11A: Área Metropolitana do Porto;346949;
11A0104: Arouca;1230;
11A0107: Espinho;3227;
11A1304: Gondomar;7566;
11A1306: Maia;8654;
11A1308: Matosinhos;11351;
11A0113: Oliveira de Azeméis;4322;
11A1310: Paredes;5974;
11A1312: Porto;254552;
11A1313: Póvoa de Varzim;4553;
11A0109: Santa Maria da Feira;7916;
11A1314: Santo Tirso;3906;
11A0116: São João da Madeira;4788;
11A1318: Trofa;2511;
11A0119: Vale de Cambra;1737;
11A1315: Valongo;5629;
11A1316: Vila do Conde;3237;
11A1317: Vila Nova de Gaia;15796;
11B: Alto Tâmega e Barroso;6354;
11B1702: Boticas;? ?;
11B1703: Chaves;3254;
11B1706: Montalegre;601;
11B1709: Ribeira de Pena;? ?;
11B1712: Valpaços;1008;
11B1713: Vila Pouca de Aguiar;976;
11C: Tâmega e Sousa;19547;
11C1301: Amarante;3019;
11C1302: Baião;560;
11C0106: Castelo de Paiva;? ?;
11C0305: Celorico de Basto;? ?;
11C1804: Cinfães;? ?;
11C1303: Felgueiras;3464;
11C1305: Lousada;1550;
11C1307: Marco de Canaveses;2900;
11C1309: Paços de Ferreira;3503;
11C1311: Penafiel;3001;
11C1813: Resende;? ?;
11D: Douro;11550;
11D1701: Alijó;? ?;
11D1801: Armamar;? ?;
11D0403: Carrazeda de Ansiães;? ?;
11D0404: Freixo de Espada à Cinta;? ?;
11D1805: Lamego;1748;
11D1704: Mesão Frio;? ?;
11D1807: Moimenta da Beira;642;
11D1707: Murça;? ?;
11D1812: Penedono;? ?;
11D1708: Peso da Régua;1486;
11D1710: Sabrosa;? ?;
11D1711: Santa Marta de Penaguião;? ?;
11D1815: São João da Pesqueira;? ?;
11D1818: Sernancelhe;? ?;
