
Quadro extraído em 09 de Dezembro de 2025 (18:39:43)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Diplomadas/os do ensino superior (N.º) por Localização geográfica (NUTS - 2024), Sexo e Natureza institucional -  Anual (1) ;
;;Sexo;
;;HM;
;;Natureza institucional;
;;Total;
;;N.º ;
2021 / 2022;PT: Portugal;89640;
;1: Continente;88402;
;11: Norte;32181;
;111: Alto Minho;1018;
;1111601: Arcos de Valdevez;- -;
;1111602: Caminha;- -;
;1111603: Melgaço;95;
;1111604: Monção;- -;
;1111605: Paredes de Coura;- -;
;1111606: Ponte da Barca;- -;
;1111607: Ponte de Lima;125;
;1111608: Valença;136;
;1111609: Viana do Castelo;662;
;1111610: Vila Nova de Cerveira;- -;
;112: Cávado;7183;
;1120301: Amares;57;
;1120302: Barcelos;747;
;1120303: Braga;6379;
;1120306: Esposende;- -;
;1120310: Terras de Bouro;- -;
;1120313: Vila Verde;- -;
;119: Ave;616;
;1190304: Cabeceiras de Basto;- -;
;1190307: Fafe;198;
;1190308: Guimarães;- -;
;1191705: Mondim de Basto;- -;
;1190309: Póvoa de Lanhoso;- -;
;1190311: Vieira do Minho;- -;
;1190312: Vila Nova de Famalicão;418;
;1190314: Vizela;- -;
;11A: Área Metropolitana do Porto;19770;
;11A0104: Arouca;- -;
;11A0107: Espinho;- -;
;11A1304: Gondomar;- -;
;11A1306: Maia;1287;
;11A1308: Matosinhos;1203;
;11A0113: Oliveira de Azeméis;178;
;11A1310: Paredes;648;
;11A1312: Porto;15304;
;11A1313: Póvoa de Varzim;- -;
;11A0109: Santa Maria da Feira;139;
;11A1314: Santo Tirso;- -;
;11A0116: São João da Madeira;- -;
;11A1318: Trofa;- -;
;11A0119: Vale de Cambra;- -;
;11A1315: Valongo;- -;
;11A1316: Vila do Conde;391;
;11A1317: Vila Nova de Gaia;620;
;11B: Alto Tâmega e Barroso;59;
;11B1702: Boticas;- -;
;11B1703: Chaves;59;
;11B1706: Montalegre;- -;
;11B1709: Ribeira de Pena;- -;
;11B1712: Valpaços;- -;
;11B1713: Vila Pouca de Aguiar;- -;
;11C: Tâmega e Sousa;427;
;11C1301: Amarante;- -;
;11C1302: Baião;- -;
;11C0106: Castelo de Paiva;- -;
;11C0305: Celorico de Basto;- -;
;11C1804: Cinfães;- -;
;11C1303: Felgueiras;303;
;11C1305: Lousada;- -;
;11C1307: Marco de Canaveses;- -;
;11C1309: Paços de Ferreira;- -;
;11C1311: Penafiel;124;
;11C1813: Resende;- -;
;11D: Douro;1525;
;11D1701: Alijó;- -;
;11D1801: Armamar;- -;
;11D0403: Carrazeda de Ansiães;- -;
;11D0404: Freixo de Espada à Cinta;- -;
;11D1805: Lamego;126;
;11D1704: Mesão Frio;- -;
;11D1807: Moimenta da Beira;- -;
;11D1707: Murça;- -;
;11D1812: Penedono;- -;
;11D1708: Peso da Régua;- -;
;11D1710: Sabrosa;- -;
;11D1711: Santa Marta de Penaguião;- -;
;11D1815: São João da Pesqueira;- -;
;11D1818: Sernancelhe;- -;
;11D1819: Tabuaço;- -;
;11D1820: Tarouca;- -;
;11D0409: Torre de Moncorvo;- -;
;11D0914: Vila Nova de Foz Côa;- -;
;11D1714: Vila Real;1399;
;11E: Terras de Trás-os-Montes;1583;
;11E0401: Alfândega da Fé;- -;
;11E0402: Bragança;1323;
;11E0405: Macedo de Cavaleiros;- -;
;11E0406: Miranda do Douro;- -;
;11E0407: Mirandela;260;
;11E0408: Mogadouro;- -;
;11E0410: Vila Flor;- -;
;11E0411: Vimioso;- -;
;11E0412: Vinhais;- -;
;19: Centro;17986;
;191: Região de Aveiro;3521;
;1910101: Águeda;221;
;1910102: Albergaria-a-Velha;- -;
;1910103: Anadia;- -;
;1910105: Aveiro;3300;
;1910108: Estarreja;- -;
;1910110: Ílhavo;- -;
;1910112: Murtosa;- -;
;1910114: Oliveira do Bairro;- -;
;1910115: Ovar;- -;
;1910117: Sever do Vouga;- -;
;1910118: Vagos;- -;
;192: Região de Coimbra;8336;
;1920601: Arganil;- -;
;1920602: Cantanhede;- -;
;1920603: Coimbra;8228;
;1920604: Condeixa-a-Nova;- -;
;1920605: Figueira da Foz;- -;
;1920606: Góis;- -;
;1920607: Lousã;- -;
;1920111: Mealhada;- -;
;1920608: Mira;- -;
;1920609: Miranda do Corvo;- -;
;1920610: Montemor-o-Velho;- -;
;1921808: Mortágua;- -;
;1920611: Oliveira do Hospital;108;
;1920612: Pampilhosa da Serra;- -;
;1920613: Penacova;- -;
;1920614: Penela;- -;
;1920615: Soure;- -;
;1920616: Tábua;- -;
;1920617: Vila Nova de Poiares;- -;
;193: Região de Leiria;2014;
;1931002: Alvaiázere;- -;
;1931003: Ansião;- -;
;1931004: Batalha;- -;
;1931007: Castanheira de Pêra;- -;
;1931008: Figueiró dos Vinhos;- -;
;1931009: Leiria;2007;
;1931010: Marinha Grande;7;
;1931013: Pedrógão Grande;- -;
;1931015: Pombal;- -;
;1931016: Porto de Mós;- -;
;194: Viseu Dão Lafões;1100;
;1940901: Aguiar da Beira;- -;
;1941802: Carregal do Sal;- -;
;1941803: Castro Daire;- -;
;1941806: Mangualde;- -;
;1941809: Nelas;- -;
;1941810: Oliveira de Frades;- -;
;1941811: Penalva do Castelo;- -;
;1941814: Santa Comba Dão;- -;
;1941816: São Pedro do Sul;- -;
;1941817: Sátão;- -;
;1941821: Tondela;- -;
;1941822: Vila Nova de Paiva;- -;
;1941823: Viseu;1100;
