
Quadro extraído em 09 de Dezembro de 2025 (18:27:13)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual;
;Período de referência dos dados;
;2023;
;Atividade económica (Subclasse - CAE Rev. 3);
;Total;
;N.º ;
PT: Portugal;14362;
1: Continente;13563;
11: Norte;4650;
111: Alto Minho;268;
1111601: Arcos de Valdevez;21;
1111602: Caminha;12;
1111603: Melgaço;11;
1111604: Monção;27;
1111605: Paredes de Coura;7;
1111606: Ponte da Barca;11;
1111607: Ponte de Lima;43;
1111608: Valença;29;
1111609: Viana do Castelo;94;
1111610: Vila Nova de Cerveira;13;
112: Cávado;520;
1120301: Amares;28;
1120302: Barcelos;134;
1120303: Braga;263;
1120306: Esposende;54;
1120310: Terras de Bouro;2;
1120313: Vila Verde;39;
119: Ave;465;
1190304: Cabeceiras de Basto;13;
1190307: Fafe;51;
1190308: Guimarães;211;
1191705: Mondim de Basto;9;
1190309: Póvoa de Lanhoso;15;
1190311: Vieira do Minho;9;
1190312: Vila Nova de Famalicão;131;
1190314: Vizela;26;
11A: Área Metropolitana do Porto;2575;
11A0104: Arouca;19;
11A0107: Espinho;35;
11A1304: Gondomar;176;
11A1306: Maia;211;
11A1308: Matosinhos;258;
11A0113: Oliveira de Azeméis;62;
11A1310: Paredes;86;
11A1312: Porto;678;
11A1313: Póvoa de Varzim;91;
11A0109: Santa Maria da Feira;163;
11A1314: Santo Tirso;53;
11A0116: São João da Madeira;38;
11A1318: Trofa;52;
11A0119: Vale de Cambra;23;
11A1315: Valongo;86;
11A1316: Vila do Conde;109;
11A1317: Vila Nova de Gaia;435;
11B: Alto Tâmega;101;
11B1702: Boticas;6;
11B1703: Chaves;58;
11B1706: Montalegre;11;
11B1709: Ribeira de Pena;7;
11B1712: Valpaços;8;
11B1713: Vila Pouca de Aguiar;11;
11C: Tâmega e Sousa;385;
11C1301: Amarante;36;
11C1302: Baião;21;
11C0106: Castelo de Paiva;12;
11C0305: Celorico de Basto;14;
11C1804: Cinfães;37;
11C1303: Felgueiras;77;
11C1305: Lousada;35;
11C1307: Marco de Canaveses;32;
11C1309: Paços de Ferreira;43;
11C1311: Penafiel;73;
11C1813: Resende;5;
11D: Douro;232;
11D1701: Alijó;11;
11D1801: Armamar;11;
11D0403: Carrazeda de Ansiães;7;
11D0404: Freixo de Espada à Cinta;3;
11D1805: Lamego;31;
11D1704: Mesão Frio;9;
11D1807: Moimenta da Beira;2;
11D1707: Murça;9;
11D1812: Penedono;3;
11D1708: Peso da Régua;21;
11D1710: Sabrosa;8;
11D1711: Santa Marta de Penaguião;8;
11D1815: São João da Pesqueira;8;
11D1818: Sernancelhe;6;
11D1819: Tabuaço;3;
11D1820: Tarouca;5;
11D0409: Torre de Moncorvo;4;
11D0914: Vila Nova de Foz Côa;9;
11D1714: Vila Real;74;
11E: Terras de Trás-os-Montes;104;
11E0401: Alfândega da Fé;5;
11E0402: Bragança;38;
11E0405: Macedo de Cavaleiros;13;
11E0406: Miranda do Douro;6;
11E0407: Mirandela;22;
11E0408: Mogadouro;4;
11E0410: Vila Flor;7;
11E0411: Vimioso;3;
11E0412: Vinhais;6;
16: Centro;2279;
16B: Oeste;417;
16B1001: Alcobaça;66;
16B1101: Alenquer;38;
16B1102: Arruda dos Vinhos;8;
16B1005: Bombarral;8;
16B1104: Cadaval;14;
16B1006: Caldas da Rainha;76;
16B1108: Lourinhã;41;
16B1011: Nazaré;18;
16B1012: Óbidos;24;
16B1014: Peniche;22;
16B1112: Sobral de Monte Agraço;7;
16B1113: Torres Vedras;95;
16D: Região de Aveiro;344;
16D0101: Águeda;42;
16D0102: Albergaria-a-Velha;30;
16D0103: Anadia;17;
16D0105: Aveiro;97;
16D0108: Estarreja;17;
16D0110: Ílhavo;37;
16D0112: Murtosa;5;
16D0114: Oliveira do Bairro;16;
16D0115: Ovar;48;
16D0117: Sever do Vouga;3;
16D0118: Vagos;32;
16E: Região de Coimbra;427;
16E0601: Arganil;8;
16E0602: Cantanhede;23;
16E0603: Coimbra;187;
16E0604: Condeixa-a-Nova;15;
16E0605: Figueira da Foz;43;
16E0606: Góis;2;
16E0607: Lousã;20;
16E0111: Mealhada;13;
16E0608: Mira;8;
16E0609: Miranda do Corvo;11;
16E0610: Montemor-o-Velho;16;
16E1808: Mortágua;13;
16E0611: Oliveira do Hospital;21;
16E0612: Pampilhosa da Serra;6;
16E0613: Penacova;12;
16E0614: Penela;5;
