
Quadro extraído em 09 de Dezembro de 2025 (21:57:21)
http://www.ine.pt



Local de residência (NUTS - 2024);Duração média do subsídio de desemprego da segurança social (Dia) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;Dia ;
PT: Portugal;172;
1: Continente;171;
11: Norte;178;
111: Alto Minho;154;
1111601: Arcos de Valdevez;150;
1111602: Caminha;163;
1111603: Melgaço;206;
1111604: Monção;171;
1111605: Paredes de Coura;159;
1111606: Ponte da Barca;138;
1111607: Ponte de Lima;169;
1111608: Valença;154;
1111609: Viana do Castelo;144;
1111610: Vila Nova de Cerveira;170;
112: Cávado;177;
1120301: Amares;173;
1120302: Barcelos;179;
1120303: Braga;177;
1120306: Esposende;166;
1120310: Terras de Bouro;159;
1120313: Vila Verde;185;
119: Ave;185;
1190304: Cabeceiras de Basto;174;
1190307: Fafe;183;
1190308: Guimarães;188;
1191705: Mondim de Basto;207;
1190309: Póvoa de Lanhoso;182;
1190311: Vieira do Minho;180;
1190312: Vila Nova de Famalicão;181;
1190314: Vizela;191;
11A: Área Metropolitana do Porto;178;
11A0104: Arouca;179;
11A0107: Espinho;188;
11A1304: Gondomar;180;
11A1306: Maia;174;
11A1308: Matosinhos;178;
11A0113: Oliveira de Azeméis;170;
11A1310: Paredes;182;
11A1312: Porto;176;
11A1313: Póvoa de Varzim;170;
11A0109: Santa Maria da Feira;172;
11A1314: Santo Tirso;190;
11A0116: São João da Madeira;170;
11A1318: Trofa;177;
11A0119: Vale de Cambra;169;
11A1315: Valongo;177;
11A1316: Vila do Conde;172;
11A1317: Vila Nova de Gaia;182;
11B: Alto Tâmega e Barroso;188;
11B1702: Boticas;177;
11B1703: Chaves;187;
11B1706: Montalegre;189;
11B1709: Ribeira de Pena;178;
11B1712: Valpaços;183;
11B1713: Vila Pouca de Aguiar;200;
11C: Tâmega e Sousa;179;
11C1301: Amarante;174;
11C1302: Baião;182;
11C0106: Castelo de Paiva;180;
11C0305: Celorico de Basto;189;
11C1804: Cinfães;182;
11C1303: Felgueiras;172;
11C1305: Lousada;166;
11C1307: Marco de Canaveses;191;
11C1309: Paços de Ferreira;181;
11C1311: Penafiel;181;
11C1813: Resende;216;
11D: Douro;186;
11D1701: Alijó;192;
11D1801: Armamar;195;
11D0403: Carrazeda de Ansiães;200;
11D0404: Freixo de Espada à Cinta;193;
11D1805: Lamego;179;
11D1704: Mesão Frio;206;
11D1807: Moimenta da Beira;199;
11D1707: Murça;210;
11D1812: Penedono;176;
11D1708: Peso da Régua;192;
11D1710: Sabrosa;176;
11D1711: Santa Marta de Penaguião;183;
11D1815: São João da Pesqueira;182;
11D1818: Sernancelhe;189;
11D1819: Tabuaço;196;
11D1820: Tarouca;186;
11D0409: Torre de Moncorvo;188;
11D0914: Vila Nova de Foz Côa;168;
11D1714: Vila Real;183;
11E: Terras de Trás-os-Montes;175;
11E0401: Alfândega da Fé;179;
11E0402: Bragança;168;
11E0405: Macedo de Cavaleiros;180;
11E0406: Miranda do Douro;213;
11E0407: Mirandela;172;
11E0408: Mogadouro;174;
11E0410: Vila Flor;194;
11E0411: Vimioso;198;
11E0412: Vinhais;183;
19: Centro;165;
191: Região de Aveiro;165;
1910101: Águeda;158;
1910102: Albergaria-a-Velha;167;
1910103: Anadia;172;
1910105: Aveiro;160;
1910108: Estarreja;170;
1910110: Ílhavo;158;
1910112: Murtosa;162;
1910114: Oliveira do Bairro;151;
1910115: Ovar;177;
1910117: Sever do Vouga;172;
1910118: Vagos;167;
192: Região de Coimbra;164;
1920601: Arganil;180;
1920602: Cantanhede;161;
1920603: Coimbra;164;
1920604: Condeixa-a-Nova;157;
1920605: Figueira da Foz;156;
1920606: Góis;204;
1920607: Lousã;162;
1920111: Mealhada;169;
1920608: Mira;152;
1920609: Miranda do Corvo;159;
1920610: Montemor-o-Velho;158;
1921808: Mortágua;151;
1920611: Oliveira do Hospital;177;
1920612: Pampilhosa da Serra;182;
1920613: Penacova;171;
1920614: Penela;174;
1920615: Soure;186;
1920616: Tábua;186;
1920617: Vila Nova de Poiares;189;
193: Região de Leiria;162;
1931002: Alvaiázere;154;
1931003: Ansião;188;
1931004: Batalha;158;
1931007: Castanheira de Pêra;171;
1931008: Figueiró dos Vinhos;179;
1931009: Leiria;161;
1931010: Marinha Grande;158;
1931013: Pedrógão Grande;190;
1931015: Pombal;164;
1931016: Porto de Mós;168;
194: Viseu Dão Lafões;167;
1940901: Aguiar da Beira;184;
1941802: Carregal do Sal;155;
1941803: Castro Daire;172;
