
Quadro extraído em 09 de Dezembro de 2025 (22:18:02)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Empresas (N.º) por Localização geográfica (NUTS - 2024), Atividade económica (Divisão - CAE Rev. 3) e Forma jurídica -  Anual;
;;Atividade económica (Divisão - CAE Rev. 3);
;;Total;
;;Forma jurídica;
;;Total;
;;N.º ;
2023;PT: Portugal;1510274;
;1: Continente;1445184;
;11: Norte;502112;
;111: Alto Minho;33345;
;1111601: Arcos de Valdevez;2977;
;1111602: Caminha;2615;
;1111603: Melgaço;1236;
;1111604: Monção;3323;
;1111605: Paredes de Coura;1181;
;1111606: Ponte da Barca;1444;
;1111607: Ponte de Lima;5559;
;1111608: Valença;2156;
;1111609: Viana do Castelo;11593;
;1111610: Vila Nova de Cerveira;1261;
;112: Cávado;57634;
;1120301: Amares;2336;
;1120302: Barcelos;15233;
;1120303: Braga;27617;
;1120306: Esposende;5395;
;1120310: Terras de Bouro;930;
;1120313: Vila Verde;6123;
;119: Ave;48561;
;1190304: Cabeceiras de Basto;1875;
;1190307: Fafe;5440;
;1190308: Guimarães;17861;
;1191705: Mondim de Basto;726;
;1190309: Póvoa de Lanhoso;2485;
;1190311: Vieira do Minho;1493;
;1190312: Vila Nova de Famalicão;16318;
;1190314: Vizela;2363;
;11A: Área Metropolitana do Porto;251493;
;11A0104: Arouca;2709;
;11A0107: Espinho;3849;
;11A1304: Gondomar;17891;
;11A1306: Maia;18452;
;11A1308: Matosinhos;24290;
;11A0113: Oliveira de Azeméis;8130;
;11A1310: Paredes;9492;
;11A1312: Porto;52355;
;11A1313: Póvoa de Varzim;9574;
;11A0109: Santa Maria da Feira;17702;
;11A1314: Santo Tirso;7099;
;11A0116: São João da Madeira;3322;
;11A1318: Trofa;4895;
;11A0119: Vale de Cambra;2669;
;11A1315: Valongo;10457;
;11A1316: Vila do Conde;10265;
;11A1317: Vila Nova de Gaia;48342;
;11B: Alto Tâmega e Barroso;13448;
;11B1702: Boticas;702;
;11B1703: Chaves;5021;
;11B1706: Montalegre;1709;
;11B1709: Ribeira de Pena;790;
;11B1712: Valpaços;3522;
;11B1713: Vila Pouca de Aguiar;1704;
;11C: Tâmega e Sousa;44880;
;11C1301: Amarante;6133;
;11C1302: Baião;1667;
;11C0106: Castelo de Paiva;1506;
;11C0305: Celorico de Basto;1798;
;11C1804: Cinfães;1821;
;11C1303: Felgueiras;6854;
;11C1305: Lousada;5212;
;11C1307: Marco de Canaveses;5023;
;11C1309: Paços de Ferreira;6123;
;11C1311: Penafiel;7325;
;11C1813: Resende;1418;
;11D: Douro;31453;
;11D1701: Alijó;2320;
;11D1801: Armamar;1000;
;11D0403: Carrazeda de Ansiães;1057;
;11D0404: Freixo de Espada à Cinta;618;
;11D1805: Lamego;3326;
;11D1704: Mesão Frio;592;
;11D1807: Moimenta da Beira;1408;
;11D1707: Murça;1221;
;11D1812: Penedono;612;
;11D1708: Peso da Régua;2479;
;11D1710: Sabrosa;1033;
;11D1711: Santa Marta de Penaguião;1470;
;11D1815: São João da Pesqueira;1593;
;11D1818: Sernancelhe;954;
;11D1819: Tabuaço;828;
;11D1820: Tarouca;957;
;11D0409: Torre de Moncorvo;1253;
;11D0914: Vila Nova de Foz Côa;1319;
;11D1714: Vila Real;7413;
;11E: Terras de Trás-os-Montes;21298;
;11E0401: Alfândega da Fé;1101;
;11E0402: Bragança;6712;
;11E0405: Macedo de Cavaleiros;3087;
;11E0406: Miranda do Douro;1230;
;11E0407: Mirandela;3611;
;11E0408: Mogadouro;1897;
;11E0410: Vila Flor;1120;
;11E0411: Vimioso;676;
;11E0412: Vinhais;1864;
;19: Centro;220083;
;191: Região de Aveiro;49336;
;1910101: Águeda;6216;
;1910102: Albergaria-a-Velha;3129;
;1910103: Anadia;4108;
;1910105: Aveiro;12019;
;1910108: Estarreja;2914;
;1910110: Ílhavo;4993;
;1910112: Murtosa;1313;
;1910114: Oliveira do Bairro;3231;
;1910115: Ovar;6600;
;1910117: Sever do Vouga;1594;
;1910118: Vagos;3219;
;192: Região de Coimbra;59706;
;1920601: Arganil;1293;
;1920602: Cantanhede;5234;
;1920603: Coimbra;22812;
;1920604: Condeixa-a-Nova;1927;
;1920605: Figueira da Foz;7623;
;1920606: Góis;493;
;1920607: Lousã;2031;
;1920111: Mealhada;2560;
;1920608: Mira;1586;
;1920609: Miranda do Corvo;1423;
;1920610: Montemor-o-Velho;2858;
;1921808: Mortágua;1275;
;1920611: Oliveira do Hospital;2107;
;1920612: Pampilhosa da Serra;288;
;1920613: Penacova;1629;
;1920614: Penela;734;
;1920615: Soure;1712;
;1920616: Tábua;1241;
;1920617: Vila Nova de Poiares;880;
;193: Região de Leiria;41292;
;1931002: Alvaiázere;890;
;1931003: Ansião;1556;
;1931004: Batalha;2302;
;1931007: Castanheira de Pêra;287;
;1931008: Figueiró dos Vinhos;653;
;1931009: Leiria;19901;
;1931010: Marinha Grande;5159;
;1931013: Pedrógão Grande;491;
;1931015: Pombal;6939;
;1931016: Porto de Mós;3114;
;194: Viseu Dão Lafões;31406;
;1940901: Aguiar da Beira;766;
;1941802: Carregal do Sal;921;
;1941803: Castro Daire;1488;
;1941806: Mangualde;2127;
;1941809: Nelas;1305;
;1941810: Oliveira de Frades;1230;
;1941811: Penalva do Castelo;909;
;1941814: Santa Comba Dão;1150;
;1941816: São Pedro do Sul;1766;
;1941817: Sátão;1361;
;1941821: Tondela;3112;
;1941822: Vila Nova de Paiva;576;
;1941823: Viseu;13516;
;1941824: Vouzela;1179;
;195: Beira Baixa;11878;
;1950502: Castelo Branco;6285;
;1950505: Idanha-a-Nova;1068;
;1950506: Oleiros;625;
;1950507: Penamacor;546;
;1950508: Proença-a-Nova;831;
;1950509: Sertã;1786;
;1950510: Vila de Rei;436;
;1950511: Vila Velha de Ródão;301;
;196: Beiras e Serra da Estrela;26465;
;1960902: Almeida;722;
;1960501: Belmonte;763;
;1960903: Celorico da Beira;681;
;1960503: Covilhã;5230;
;1960904: Figueira de Castelo Rodrigo;911;
;1960905: Fornos de Algodres;474;
;1960504: Fundão;3448;
;1960906: Gouveia;1335;
;1960907: Guarda;4961;
;1960908: Manteigas;320;
;1960909: Mêda;809;
;1960910: Pinhel;1696;
;1960911: Sabugal;1418;
;1960912: Seia;2340;
;1960913: Trancoso;1357;
;1D: Oeste e Vale do Tejo;105574;
;1D1: Oeste;53476;
;1D11001: Alcobaça;7686;
;1D11101: Alenquer;4972;
;1D11102: Arruda dos Vinhos;2030;
;1D11005: Bombarral;1971;
;1D11104: Cadaval;1876;
;1D11006: Caldas da Rainha;7981;
;1D11108: Lourinhã;4139;
;1D11011: Nazaré;2629;
;1D11012: Óbidos;2343;
;1D11014: Peniche;3753;
;1D11112: Sobral de Monte Agraço;1468;
;1D11113: Torres Vedras;12628;
;1D2: Médio Tejo;24334;
;1D21401: Abrantes;3317;
;1D21402: Alcanena;1596;
;1D21408: Constância;343;
;1D21410: Entroncamento;2169;
;1D21411: Ferreira do Zêzere;865;
;1D21413: Mação;707;
;1D21421: Ourém;6345;
;1D21417: Sardoal;414;
;1D21418: Tomar;4276;
;1D21419: Torres Novas;3678;
;1D21420: Vila Nova da Barquinha;624;
;1D3: Lezíria do Tejo;27764;
;1D31403: Almeirim;2944;
;1D31404: Alpiarça;845;
;1D31103: Azambuja;2108;
;1D31405: Benavente;3452;
;1D31406: Cartaxo;2556;
;1D31407: Chamusca;953;
;1D31409: Coruche;1986;
;1D31412: Golegã;651;
;1D31414: Rio Maior;2684;
;1D31415: Salvaterra de Magos;2137;
;1D31416: Santarém;7448;
;1A: Grande Lisboa;357760;
;1A0: Grande Lisboa;357760;
;1A01115: Amadora;22511;
;1A01105: Cascais;38718;
;1A01106: Lisboa;140798;
;1A01107: Loures;25120;
;1A01109: Mafra;13550;
;1A01116: Odivelas;21603;
;1A01110: Oeiras;29402;
;1A01111: Sintra;51273;
;1A01114: Vila Franca de Xira;14785;
;1B: Península de Setúbal;99962;
;1B0: Península de Setúbal;99962;
;1B01502: Alcochete;2320;
;1B01503: Almada;24623;
;1B01504: Barreiro;8149;
;1B01506: Moita;5809;
;1B01507: Montijo;7280;
;1B01508: Palmela;8375;
;1B01510: Seixal;20316;
;1B01511: Sesimbra;7194;
;1B01512: Setúbal;15896;
;1C: Alentejo;65855;
;1C1: Alentejo Litoral;14365;
;1C11501: Alcácer do Sal;1861;
;1C11505: Grândola;2339;
;1C10211: Odemira;4644;
;1C11509: Santiago do Cacém;3767;
;1C11513: Sines;1754;
;1C2: Baixo Alentejo;16726;
;1C20201: Aljustrel;890;
;1C20202: Almodôvar;922;
;1C20203: Alvito;328;
;1C20204: Barrancos;270;
;1C20205: Beja;5094;
;1C20206: Castro Verde;847;
;1C20207: Cuba;656;
;1C20208: Ferreira do Alentejo;1180;
;1C20209: Mértola;858;
;1C20210: Moura;2098;
;1C20212: Ourique;745;
;1C20213: Serpa;2075;
;1C20214: Vidigueira;763;
;1C3: Alto Alentejo;13328;
;1C31201: Alter do Chão;376;
;1C31202: Arronches;383;
;1C31203: Avis;466;
;1C31204: Campo Maior;786;
;1C31205: Castelo de Vide;424;
;1C31206: Crato;429;
;1C31207: Elvas;2742;
;1C31208: Fronteira;468;
;1C31209: Gavião;322;
;1C31210: Marvão;505;
