
Quadro extraído em 19 de Dezembro de 2025 (17:10:09)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Ganho médio mensal (?) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual (1) ;
;;Setor de atividade económica (CAE Rev. 3);
;;Total;
;;Sexo;
;;HM;
;;? ;
2023;PT: Portugal;1460,81;
;1: Continente;1466,66;
;11: Norte;1348,66;
;111: Alto Minho;1237,67;
;1111601: Arcos de Valdevez;1140,37;
;1111602: Caminha;1069,71;
;1111603: Melgaço;1069,4;
;1111604: Monção;1139,32;
;1111605: Paredes de Coura;1137,34;
;1111606: Ponte da Barca;1053,69;
;1111607: Ponte de Lima;1148,27;
;1111608: Valença;1157,98;
;1111609: Viana do Castelo;1341,14;
;1111610: Vila Nova de Cerveira;1317,86;
;112: Cávado;1276,47;
;1120301: Amares;1152,42;
;1120302: Barcelos;1165,05;
;1120303: Braga;1391,43;
;1120306: Esposende;1160,38;
;1120310: Terras de Bouro;1141,66;
;1120313: Vila Verde;1096,14;
;119: Ave;1215,13;
;1190304: Cabeceiras de Basto;1016,11;
;1190307: Fafe;1064,98;
;1190308: Guimarães;1178,99;
;1191705: Mondim de Basto;976,15;
;1190309: Póvoa de Lanhoso;1050,5;
;1190311: Vieira do Minho;1021,52;
;1190312: Vila Nova de Famalicão;1347,59;
;1190314: Vizela;1104,93;
;11A: Área Metropolitana do Porto;1480,08;
;11A0104: Arouca;1174,56;
;11A0107: Espinho;1244,23;
;11A1304: Gondomar;1222,89;
;11A1306: Maia;1524,73;
;11A1308: Matosinhos;1600,75;
;11A0113: Oliveira de Azeméis;1368,75;
;11A1310: Paredes;1136,48;
;11A1312: Porto;1761,44;
;11A1313: Póvoa de Varzim;1228,5;
;11A0109: Santa Maria da Feira;1301,68;
;11A1314: Santo Tirso;1264,13;
;11A0116: São João da Madeira;1321,52;
;11A1318: Trofa;1342,36;
