
Quadro extraído em 09 de Dezembro de 2025 (22:23:10)
http://www.ine.pt



Localização geográfica (NUTS - 2024) (1) ;Indivíduos com 18 e mais anos de idade certificados pelo sistema de reconhecimento, validação e certificação de competências (N.º) por Localização geográfica (NUTS - 2024) e Nível de ensino -  Anual;
;Período de referência dos dados;
;2023 / 2024;
;Nível de ensino;
;Total;
;N.º ;
PT: Portugal;15200;
1: Continente;14783;
11: Norte;6380;
111: Alto Minho;390;
1111601: Arcos de Valdevez;28;
1111602: Caminha;25;
1111603: Melgaço;- -;
1111604: Monção;38;
1111605: Paredes de Coura;- -;
1111606: Ponte da Barca;33;
1111607: Ponte de Lima;53;
1111608: Valença;15;
1111609: Viana do Castelo;198;
1111610: Vila Nova de Cerveira;- -;
112: Cávado;648;
1120301: Amares;36;
1120302: Barcelos;156;
1120303: Braga;219;
1120306: Esposende;52;
1120310: Terras de Bouro;- -;
1120313: Vila Verde;185;
119: Ave;410;
1190304: Cabeceiras de Basto;68;
1190307: Fafe;39;
1190308: Guimarães;120;
1191705: Mondim de Basto;- -;
1190309: Póvoa de Lanhoso;35;
1190311: Vieira do Minho;- -;
1190312: Vila Nova de Famalicão;65;
1190314: Vizela;83;
11A: Área Metropolitana do Porto;2960;
11A0104: Arouca;51;
11A0107: Espinho;43;
11A1304: Gondomar;149;
11A1306: Maia;100;
11A1308: Matosinhos;391;
11A0113: Oliveira de Azeméis;51;
11A1310: Paredes;367;
11A1312: Porto;486;
11A1313: Póvoa de Varzim;158;
11A0109: Santa Maria da Feira;278;
11A1314: Santo Tirso;66;
11A0116: São João da Madeira;82;
11A1318: Trofa;41;
11A0119: Vale de Cambra;- -;
11A1315: Valongo;208;
11A1316: Vila do Conde;100;
11A1317: Vila Nova de Gaia;389;
11B: Alto Tâmega e Barroso;96;
11B1702: Boticas;- -;
11B1703: Chaves;59;
11B1706: Montalegre;- -;
11B1709: Ribeira de Pena;- -;
11B1712: Valpaços;19;
11B1713: Vila Pouca de Aguiar;18;
11C: Tâmega e Sousa;1167;
11C1301: Amarante;95;
11C1302: Baião;- -;
11C0106: Castelo de Paiva;10;
11C0305: Celorico de Basto;39;
11C1804: Cinfães;41;
11C1303: Felgueiras;251;
11C1305: Lousada;142;
11C1307: Marco de Canaveses;109;
11C1309: Paços de Ferreira;152;
11C1311: Penafiel;328;
11C1813: Resende;- -;
11D: Douro;394;
11D1701: Alijó;33;
11D1801: Armamar;- -;
11D0403: Carrazeda de Ansiães;- -;
11D0404: Freixo de Espada à Cinta;- -;
11D1805: Lamego;59;
11D1704: Mesão Frio;- -;
11D1807: Moimenta da Beira;31;
11D1707: Murça;- -;
11D1812: Penedono;- -;
11D1708: Peso da Régua;30;
11D1710: Sabrosa;- -;
11D1711: Santa Marta de Penaguião;- -;
11D1815: São João da Pesqueira;118;
11D1818: Sernancelhe;- -;
11D1819: Tabuaço;- -;
11D1820: Tarouca;- -;
11D0409: Torre de Moncorvo;- -;
11D0914: Vila Nova de Foz Côa;- -;
11D1714: Vila Real;123;
11E: Terras de Trás-os-Montes;315;
11E0401: Alfândega da Fé;- -;
11E0402: Bragança;97;
11E0405: Macedo de Cavaleiros;38;
11E0406: Miranda do Douro;- -;
11E0407: Mirandela;110;
11E0408: Mogadouro;70;
11E0410: Vila Flor;- -;
11E0411: Vimioso;- -;
11E0412: Vinhais;- -;
19: Centro;2600;
191: Região de Aveiro;761;
1910101: Águeda;65;
1910102: Albergaria-a-Velha;41;
1910103: Anadia;43;
1910105: Aveiro;281;
1910108: Estarreja;35;
1910110: Ílhavo;40;
1910112: Murtosa;- -;
1910114: Oliveira do Bairro;- -;
1910115: Ovar;154;
1910117: Sever do Vouga;72;
1910118: Vagos;30;
192: Região de Coimbra;777;
1920601: Arganil;94;
1920602: Cantanhede;24;
1920603: Coimbra;307;
1920604: Condeixa-a-Nova;- -;
1920605: Figueira da Foz;90;
1920606: Góis;- -;
1920607: Lousã;38;
1920111: Mealhada;19;
1920608: Mira;- -;
1920609: Miranda do Corvo;- -;
1920610: Montemor-o-Velho;26;
1921808: Mortágua;- -;
1920611: Oliveira do Hospital;44;
1920612: Pampilhosa da Serra;- -;
1920613: Penacova;24;
1920614: Penela;- -;
1920615: Soure;37;
1920616: Tábua;- -;
1920617: Vila Nova de Poiares;74;
193: Região de Leiria;437;
1931002: Alvaiázere;- -;
1931003: Ansião;31;
1931004: Batalha;91;
1931007: Castanheira de Pêra;- -;
1931008: Figueiró dos Vinhos;- -;
1931009: Leiria;190;
1931010: Marinha Grande;56;
1931013: Pedrógão Grande;- -;
1931015: Pombal;69;
1931016: Porto de Mós;- -;
194: Viseu Dão Lafões;329;
1940901: Aguiar da Beira;- -;
1941802: Carregal do Sal;- -;
1941803: Castro Daire;52;
1941806: Mangualde;48;
1941809: Nelas;- -;
1941810: Oliveira de Frades;- -;
1941811: Penalva do Castelo;- -;
1941814: Santa Comba Dão;- -;
1941816: São Pedro do Sul;54;
1941817: Sátão;- -;
1941821: Tondela;40;
1941822: Vila Nova de Paiva;- -;
1941823: Viseu;135;
1941824: Vouzela;- -;
195: Beira Baixa;77;
1950502: Castelo Branco;18;
1950505: Idanha-a-Nova;50;
1950506: Oleiros;- -;
1950507: Penamacor;- -;
1950508: Proença-a-Nova;- -;
1950509: Sertã;9;
1950510: Vila de Rei;- -;
1950511: Vila Velha de Ródão;- -;
196: Beiras e Serra da Estrela;219;
1960902: Almeida;- -;
1960501: Belmonte;- -;
1960903: Celorico da Beira;- -;
1960503: Covilhã;109;
1960904: Figueira de Castelo Rodrigo;- -;
1960905: Fornos de Algodres;- -;
1960504: Fundão;38;
1960906: Gouveia;- -;
1960907: Guarda;43;
1960908: Manteigas;- -;
1960909: Mêda;- -;
1960910: Pinhel;- -;
1960911: Sabugal;- -;
1960912: Seia;29;
1960913: Trancoso;- -;
1D: Oeste e Vale do Tejo;1280;
1D1: Oeste;369;
1D11001: Alcobaça;101;
1D11101: Alenquer;34;
1D11102: Arruda dos Vinhos;- -;
1D11005: Bombarral;28;
1D11104: Cadaval;26;
1D11006: Caldas da Rainha;67;
1D11108: Lourinhã;23;
1D11011: Nazaré;28;
1D11012: Óbidos;- -;
1D11014: Peniche;32;
1D11112: Sobral de Monte Agraço;- -;
1D11113: Torres Vedras;30;
1D2: Médio Tejo;577;
1D21401: Abrantes;63;
1D21402: Alcanena;32;
1D21408: Constância;- -;
1D21410: Entroncamento;55;
1D21411: Ferreira do Zêzere;- -;
1D21413: Mação;- -;
1D21421: Ourém;116;
1D21417: Sardoal;- -;
1D21418: Tomar;216;
1D21419: Torres Novas;95;
1D21420: Vila Nova da Barquinha;- -;
1D3: Lezíria do Tejo;334;
1D31403: Almeirim;- -;
1D31404: Alpiarça;- -;
1D31103: Azambuja;89;
1D31405: Benavente;- -;
1D31406: Cartaxo;21;
1D31407: Chamusca;- -;
1D31409: Coruche;32;
1D31412: Golegã;- -;
1D31414: Rio Maior;7;
1D31415: Salvaterra de Magos;39;
1D31416: Santarém;146;
1A: Grande Lisboa;2345;
1A0: Grande Lisboa;2345;
1A01115: Amadora;338;
1A01105: Cascais;229;
1A01106: Lisboa;535;
1A01107: Loures;131;
1A01109: Mafra;45;
1A01116: Odivelas;299;
1A01110: Oeiras;173;
1A01111: Sintra;449;
1A01114: Vila Franca de Xira;146;
1B: Península de Setúbal;1049;
1B0: Península de Setúbal;1049;
1B01502: Alcochete;- -;
1B01503: Almada;110;
1B01504: Barreiro;87;
1B01506: Moita;118;
1B01507: Montijo;81;
1B01508: Palmela;53;
1B01510: Seixal;357;
1B01511: Sesimbra;63;
1B01512: Setúbal;180;
1C: Alentejo;698;
1C1: Alentejo Litoral;80;
1C11501: Alcácer do Sal;- -;
1C11505: Grândola;8;
1C10211: Odemira;20;
1C11509: Santiago do Cacém;32;
1C11513: Sines;20;
1C2: Baixo Alentejo;186;
1C20201: Aljustrel;64;
1C20202: Almodôvar;13;
1C20203: Alvito;- -;
1C20204: Barrancos;- -;
1C20205: Beja;76;
1C20206: Castro Verde;- -;
1C20207: Cuba;- -;
1C20208: Ferreira do Alentejo;- -;
1C20209: Mértola;11;
1C20210: Moura;14;
1C20212: Ourique;- -;
1C20213: Serpa;8;
1C20214: Vidigueira;- -;
1C3: Alto Alentejo;138;
1C31201: Alter do Chão;- -;
1C31202: Arronches;- -;
1C31203: Avis;- -;
1C31204: Campo Maior;57;
1C31205: Castelo de Vide;- -;
1C31206: Crato;- -;
1C31207: Elvas;19;
1C31208: Fronteira;- -;
1C31209: Gavião;- -;
1C31210: Marvão;- -;
1C31211: Monforte;- -;
1C31212: Nisa;- -;
1C31213: Ponte de Sor;38;
1C31214: Portalegre;24;
1C31215: Sousel;- -;
1C4: Alentejo Central;294;
1C40701: Alandroal;- -;
1C40702: Arraiolos;10;
1C40703: Borba;- -;
1C40704: Estremoz;34;
1C40705: Évora;183;
1C40706: Montemor-o-Novo;20;
1C40707: Mora;- -;
1C40708: Mourão;- -;
1C40709: Portel;- -;
1C40710: Redondo;- -;
1C40711: Reguengos de Monsaraz;21;
1C40712: Vendas Novas;8;
1C40713: Viana do Alentejo;- -;
1C40714: Vila Viçosa;18;
15: Algarve;431;
150: Algarve;431;
1500801: Albufeira;76;
1500802: Alcoutim;- -;
1500803: Aljezur;- -;
1500804: Castro Marim;- -;
1500805: Faro;72;
1500806: Lagoa;57;
1500807: Lagos;24;
1500808: Loulé;53;
1500809: Monchique;- -;
1500810: Olhão;47;
1500811: Portimão;60;
1500812: São Brás de Alportel;- -;
1500813: Silves;23;
1500814: Tavira;- -;
1500815: Vila do Bispo;- -;
1500816: Vila Real de Santo António;19;
2: Região Autónoma dos Açores;332;
