
Quadro extraído em 09 de Dezembro de 2025 (22:22:05)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?) por Localização geográfica (NUTS - 2024) -  Anual;
;Período de referência dos dados;
;2023;
;? ;
PT: Portugal;1542;
1: Continente;1570;
11: Norte;1283;
111: Alto Minho;1006;
1111601: Arcos de Valdevez;719;
1111602: Caminha;1223;
1111603: Melgaço;748;
1111604: Monção;799;
1111605: Paredes de Coura;667;
1111606: Ponte da Barca;677;
1111607: Ponte de Lima;795;
1111608: Valença;770;
1111609: Viana do Castelo;1329;
1111610: Vila Nova de Cerveira;879;
112: Cávado;1232;
1120301: Amares;803;
1120302: Barcelos;858;
1120303: Braga;1624;
1120306: Esposende;1266;
1120310: Terras de Bouro;614;
1120313: Vila Verde;736;
119: Ave;989;
1190304: Cabeceiras de Basto;582;
1190307: Fafe;791;
1190308: Guimarães;1088;
1191705: Mondim de Basto;538;
1190309: Póvoa de Lanhoso;627;
1190311: Vieira do Minho;614;
1190312: Vila Nova de Famalicão;1139;
1190314: Vizela;806;
11A: Área Metropolitana do Porto;1615;
11A0104: Arouca;791;
11A0107: Espinho;1490;
11A1304: Gondomar;1172;
11A1306: Maia;1822;
11A1308: Matosinhos;1982;
11A0113: Oliveira de Azeméis;1123;
11A1310: Paredes;779;
11A1312: Porto;3027;
11A1313: Póvoa de Varzim;1251;
11A0109: Santa Maria da Feira;1104;
11A1314: Santo Tirso;1151;
11A0116: São João da Madeira;1312;
11A1318: Trofa;1092;
11A0119: Vale de Cambra;1109;
11A1315: Valongo;1165;
11A1316: Vila do Conde;1380;
11A1317: Vila Nova de Gaia;1580;
11B: Alto Tâmega e Barroso;789;
11B1702: Boticas;532;
11B1703: Chaves;1021;
11B1706: Montalegre;661;
11B1709: Ribeira de Pena;647;
11B1712: Valpaços;519;
11B1713: Vila Pouca de Aguiar;661;
11C: Tâmega e Sousa;675;
11C1301: Amarante;778;
11C1302: Baião;548;
11C0106: Castelo de Paiva;560;
11C0305: Celorico de Basto;543;
11C1804: Cinfães;459;
11C1303: Felgueiras;717;
11C1305: Lousada;641;
11C1307: Marco de Canaveses;615;
11C1309: Paços de Ferreira;669;
11C1311: Penafiel;804;
11C1813: Resende;510;
11D: Douro;920;
11D1701: Alijó;553;
11D1801: Armamar;569;
11D0403: Carrazeda de Ansiães;697;
11D0404: Freixo de Espada à Cinta;623;
11D1805: Lamego;1034;
11D1704: Mesão Frio;649;
11D1807: Moimenta da Beira;712;
11D1707: Murça;620;
11D1812: Penedono;638;
11D1708: Peso da Régua;856;
11D1710: Sabrosa;651;
11D1711: Santa Marta de Penaguião;553;
11D1815: São João da Pesqueira;624;
11D1818: Sernancelhe;499;
11D1819: Tabuaço;509;
11D1820: Tarouca;575;
11D0409: Torre de Moncorvo;736;
11D0914: Vila Nova de Foz Côa;796;
11D1714: Vila Real;1446;
11E: Terras de Trás-os-Montes;1005;
11E0401: Alfândega da Fé;749;
11E0402: Bragança;1368;
11E0405: Macedo de Cavaleiros;821;
11E0406: Miranda do Douro;948;
11E0407: Mirandela;946;
11E0408: Mogadouro;897;
11E0410: Vila Flor;665;
11E0411: Vimioso;673;
11E0412: Vinhais;578;
19: Centro;1285;
191: Região de Aveiro;1371;
1910101: Águeda;1306;
1910102: Albergaria-a-Velha;1025;
1910103: Anadia;1218;
1910105: Aveiro;1981;
1910108: Estarreja;1101;
1910110: Ílhavo;1527;
1910112: Murtosa;898;
1910114: Oliveira do Bairro;936;
1910115: Ovar;1289;
1910117: Sever do Vouga;938;
1910118: Vagos;962;
192: Região de Coimbra;1533;
1920601: Arganil;660;
1920602: Cantanhede;1033;
1920603: Coimbra;2474;
1920604: Condeixa-a-Nova;1432;
1920605: Figueira da Foz;1560;
1920606: Góis;682;
1920607: Lousã;1068;
1920111: Mealhada;1157;
1920608: Mira;1088;
1920609: Miranda do Corvo;856;
1920610: Montemor-o-Velho;1105;
1921808: Mortágua;890;
1920611: Oliveira do Hospital;666;
1920612: Pampilhosa da Serra;509;
1920613: Penacova;721;
1920614: Penela;839;
1920615: Soure;1027;
1920616: Tábua;687;
1920617: Vila Nova de Poiares;779;
193: Região de Leiria;1272;
1931002: Alvaiázere;674;
1931003: Ansião;810;
1931004: Batalha;1149;
1931007: Castanheira de Pêra;656;
1931008: Figueiró dos Vinhos;789;
1931009: Leiria;1549;
1931010: Marinha Grande;1343;
1931013: Pedrógão Grande;740;
1931015: Pombal;962;
1931016: Porto de Mós;1017;
194: Viseu Dão Lafões;1070;
