
Quadro extraído em 09 de Dezembro de 2025 (22:21:44)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Nascimentos (N.º) de empresas por Localização geográfica (NUTS - 2024) e Forma jurídica -  Anual;
;Período de referência dos dados;
;2023;
;Forma jurídica;
;Total;
;N.º ;
PT: Portugal;245607;
1: Continente;235913;
11: Norte;76104;
111: Alto Minho;4424;
1111601: Arcos de Valdevez;365;
1111602: Caminha;361;
1111603: Melgaço;113;
1111604: Monção;390;
1111605: Paredes de Coura;144;
1111606: Ponte da Barca;180;
1111607: Ponte de Lima;648;
1111608: Valença;355;
1111609: Viana do Castelo;1661;
1111610: Vila Nova de Cerveira;207;
112: Cávado;8491;
1120301: Amares;349;
1120302: Barcelos;1724;
1120303: Braga;4644;
1120306: Esposende;788;
1120310: Terras de Bouro;121;
1120313: Vila Verde;865;
119: Ave;6367;
1190304: Cabeceiras de Basto;245;
1190307: Fafe;660;
1190308: Guimarães;2376;
1191705: Mondim de Basto;82;
1190309: Póvoa de Lanhoso;345;
1190311: Vieira do Minho;198;
1190312: Vila Nova de Famalicão;2155;
1190314: Vizela;306;
11A: Área Metropolitana do Porto;44417;
11A0104: Arouca;302;
11A0107: Espinho;614;
11A1304: Gondomar;2909;
11A1306: Maia;2774;
11A1308: Matosinhos;3973;
11A0113: Oliveira de Azeméis;1002;
11A1310: Paredes;1293;
11A1312: Porto;9422;
11A1313: Póvoa de Varzim;1387;
11A0109: Santa Maria da Feira;2259;
11A1314: Santo Tirso;949;
11A0116: São João da Madeira;429;
11A1318: Trofa;628;
11A0119: Vale de Cambra;296;
11A1315: Valongo;1555;
11A1316: Vila do Conde;1464;
11A1317: Vila Nova de Gaia;13161;
11B: Alto Tâmega e Barroso;1423;
11B1702: Boticas;85;
11B1703: Chaves;656;
11B1706: Montalegre;152;
11B1709: Ribeira de Pena;97;
11B1712: Valpaços;260;
11B1713: Vila Pouca de Aguiar;173;
11C: Tâmega e Sousa;5460;
11C1301: Amarante;724;
11C1302: Baião;209;
11C0106: Castelo de Paiva;181;
11C0305: Celorico de Basto;215;
11C1804: Cinfães;201;
11C1303: Felgueiras;704;
11C1305: Lousada;674;
11C1307: Marco de Canaveses;666;
11C1309: Paços de Ferreira;749;
11C1311: Penafiel;1019;
11C1813: Resende;118;
11D: Douro;3249;
11D1701: Alijó;195;
11D1801: Armamar;84;
11D0403: Carrazeda de Ansiães;129;
11D0404: Freixo de Espada à Cinta;55;
11D1805: Lamego;321;
11D1704: Mesão Frio;42;
11D1807: Moimenta da Beira;157;
11D1707: Murça;81;
11D1812: Penedono;50;
11D1708: Peso da Régua;203;
11D1710: Sabrosa;91;
11D1711: Santa Marta de Penaguião;140;
11D1815: São João da Pesqueira;114;
11D1818: Sernancelhe;96;
11D1819: Tabuaço;65;
11D1820: Tarouca;96;
11D0409: Torre de Moncorvo;162;
11D0914: Vila Nova de Foz Côa;144;
11D1714: Vila Real;1024;
11E: Terras de Trás-os-Montes;2273;
11E0401: Alfândega da Fé;134;
11E0402: Bragança;805;
11E0405: Macedo de Cavaleiros;269;
11E0406: Miranda do Douro;120;
11E0407: Mirandela;408;
11E0408: Mogadouro;172;
11E0410: Vila Flor;117;
11E0411: Vimioso;69;
11E0412: Vinhais;179;
19: Centro;30926;
191: Região de Aveiro;7334;
1910101: Águeda;913;
1910102: Albergaria-a-Velha;457;
1910103: Anadia;519;
1910105: Aveiro;2059;
1910108: Estarreja;435;
1910110: Ílhavo;845;
1910112: Murtosa;155;
1910114: Oliveira do Bairro;460;
1910115: Ovar;844;
1910117: Sever do Vouga;172;
1910118: Vagos;475;
192: Região de Coimbra;8932;
1920601: Arganil;175;
1920602: Cantanhede;691;
1920603: Coimbra;3767;
1920604: Condeixa-a-Nova;270;
1920605: Figueira da Foz;1309;
1920606: Góis;60;
1920607: Lousã;248;
1920111: Mealhada;334;
1920608: Mira;193;
1920609: Miranda do Corvo;177;
1920610: Montemor-o-Velho;365;
1921808: Mortágua;178;
1920611: Oliveira do Hospital;280;
1920612: Pampilhosa da Serra;38;
1920613: Penacova;186;
1920614: Penela;117;
1920615: Soure;242;
1920616: Tábua;169;
1920617: Vila Nova de Poiares;133;
193: Região de Leiria;5832;
1931002: Alvaiázere;112;
1931003: Ansião;171;
1931004: Batalha;301;
1931007: Castanheira de Pêra;46;
1931008: Figueiró dos Vinhos;73;
1931009: Leiria;2979;
1931010: Marinha Grande;838;
1931013: Pedrógão Grande;80;
1931015: Pombal;835;
1931016: Porto de Mós;397;
194: Viseu Dão Lafões;4210;
