
Quadro extraído em 19 de Dezembro de 2025 (17:01:32)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Proporção da população empregada por conta de outrem com ensino superior (%) por Localização geográfica (NUTS - 2024) -  Anual (1) ;
;Período de referência dos dados;
;2023;
;% ;
PT: Portugal;25,8;
1: Continente;26,2;
11: Norte;23,4;
111: Alto Minho;18,2;
1111601: Arcos de Valdevez;14,7;
1111602: Caminha;16;
1111603: Melgaço;17,9;
1111604: Monção;15,7;
1111605: Paredes de Coura;14,9;
1111606: Ponte da Barca;13,6;
1111607: Ponte de Lima;14,8;
1111608: Valença;12,7;
1111609: Viana do Castelo;22,6;
1111610: Vila Nova de Cerveira;14,6;
112: Cávado;22,1;
1120301: Amares;12,1;
1120302: Barcelos;14,5;
1120303: Braga;28,8;
1120306: Esposende;16,6;
1120310: Terras de Bouro;13,8;
1120313: Vila Verde;15,2;
119: Ave;14,9;
1190304: Cabeceiras de Basto;12,3;
1190307: Fafe;12,3;
1190308: Guimarães;15,5;
1191705: Mondim de Basto;11,5;
1190309: Póvoa de Lanhoso;13,7;
1190311: Vieira do Minho;10;
1190312: Vila Nova de Famalicão;16;
1190314: Vizela;9,9;
11A: Área Metropolitana do Porto;28,9;
11A0104: Arouca;14,1;
11A0107: Espinho;20,6;
11A1304: Gondomar;18,4;
11A1306: Maia;28,4;
11A1308: Matosinhos;35,4;
11A0113: Oliveira de Azeméis;15,3;
11A1310: Paredes;14,5;
11A1312: Porto;46,8;
11A1313: Póvoa de Varzim;18,2;
11A0109: Santa Maria da Feira;16,7;
11A1314: Santo Tirso;15,7;
11A0116: São João da Madeira;18,7;
11A1318: Trofa;16,4;
11A0119: Vale de Cambra;19,4;
11A1315: Valongo;15,9;
11A1316: Vila do Conde;20,1;
11A1317: Vila Nova de Gaia;25,6;
11B: Alto Tâmega e Barroso;16;
11B1702: Boticas;11,1;
11B1703: Chaves;17;
11B1706: Montalegre;16,2;
11B1709: Ribeira de Pena;15,1;
11B1712: Valpaços;15,9;
11B1713: Vila Pouca de Aguiar;15;
11C: Tâmega e Sousa;11;
11C1301: Amarante;15,3;
11C1302: Baião;10,6;
11C0106: Castelo de Paiva;9,7;
11C0305: Celorico de Basto;11,2;
11C1804: Cinfães;4,9;
11C1303: Felgueiras;8,3;
11C1305: Lousada;8,9;
11C1307: Marco de Canaveses;10;
11C1309: Paços de Ferreira;10,2;
11C1311: Penafiel;16;
11C1813: Resende;12,2;
11D: Douro;21;
11D1701: Alijó;16,1;
11D1801: Armamar;13,4;
11D0403: Carrazeda de Ansiães;11,5;
11D0404: Freixo de Espada à Cinta;17,6;
11D1805: Lamego;17,8;
11D1704: Mesão Frio;11,5;
11D1807: Moimenta da Beira;17,3;
11D1707: Murça;18,5;
11D1812: Penedono;12,3;
11D1708: Peso da Régua;20,8;
11D1710: Sabrosa;23,2;
11D1711: Santa Marta de Penaguião;14,8;
11D1815: São João da Pesqueira;15,8;
11D1818: Sernancelhe;13,2;
11D1819: Tabuaço;18,2;
11D1820: Tarouca;9,7;
11D0409: Torre de Moncorvo;16,1;
11D0914: Vila Nova de Foz Côa;17,5;
11D1714: Vila Real;29,5;
11E: Terras de Trás-os-Montes;24;
11E0401: Alfândega da Fé;13,9;
11E0402: Bragança;30,4;
11E0405: Macedo de Cavaleiros;19,6;
11E0406: Miranda do Douro;15,3;
11E0407: Mirandela;23,2;
11E0408: Mogadouro;16,9;
11E0410: Vila Flor;18,1;
11E0411: Vimioso;22,2;
11E0412: Vinhais;14,2;
19: Centro;21,6;
191: Região de Aveiro;22,5;
1910101: Águeda;18,3;
1910102: Albergaria-a-Velha;17,9;
1910103: Anadia;18,3;
1910105: Aveiro;31,3;
1910108: Estarreja;16,3;
1910110: Ílhavo;25,3;
1910112: Murtosa;14,8;
1910114: Oliveira do Bairro;19,1;
1910115: Ovar;19,6;
1910117: Sever do Vouga;15,8;
1910118: Vagos;20,5;
192: Região de Coimbra;24,3;
1920601: Arganil;10;
1920602: Cantanhede;21,2;
1920603: Coimbra;34,5;
1920604: Condeixa-a-Nova;23,4;
1920605: Figueira da Foz;19,9;
1920606: Góis;12,2;
1920607: Lousã;20,9;
1920111: Mealhada;18,5;
1920608: Mira;18,5;
1920609: Miranda do Corvo;20,6;
1920610: Montemor-o-Velho;15,3;
1921808: Mortágua;26,5;
1920611: Oliveira do Hospital;17,1;
1920612: Pampilhosa da Serra;11,6;
1920613: Penacova;12,2;
1920614: Penela;20;
1920615: Soure;16;
1920616: Tábua;13,8;
1920617: Vila Nova de Poiares;11,6;
