
Quadro extraído em 09 de Dezembro de 2025 (22:17:56)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);População empregada por conta de outrem (N.º) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual (1) ;
;;Setor de atividade económica (CAE Rev. 3);
;;Total;
;;Sexo;
;;HM;
;;N.º ;
2023;PT: Portugal;2570047;
;1: Continente;2467600;
;11: Norte;881635;
;111: Alto Minho;51622;
;1111601: Arcos de Valdevez;4343;
;1111602: Caminha;2044;
;1111603: Melgaço;800;
;1111604: Monção;3171;
;1111605: Paredes de Coura;1251;
;1111606: Ponte da Barca;1440;
;1111607: Ponte de Lima;8289;
;1111608: Valença;3826;
;1111609: Viana do Castelo;22642;
;1111610: Vila Nova de Cerveira;3816;
;112: Cávado;112321;
;1120301: Amares;3293;
;1120302: Barcelos;32524;
;1120303: Braga;58515;
;1120306: Esposende;7893;
;1120310: Terras de Bouro;916;
;1120313: Vila Verde;9180;
;119: Ave;108537;
;1190304: Cabeceiras de Basto;2408;
;1190307: Fafe;9505;
;1190308: Guimarães;45603;
;1191705: Mondim de Basto;771;
;1190309: Póvoa de Lanhoso;4040;
;1190311: Vieira do Minho;1333;
;1190312: Vila Nova de Famalicão;39593;
;1190314: Vizela;5284;
;11A: Área Metropolitana do Porto;463209;
;11A0104: Arouca;4407;
;11A0107: Espinho;4663;
;11A1304: Gondomar;17496;
;11A1306: Maia;49291;
;11A1308: Matosinhos;49093;
;11A0113: Oliveira de Azeméis;18531;
;11A1310: Paredes;18401;
;11A1312: Porto;119258;
;11A1313: Póvoa de Varzim;13824;
;11A0109: Santa Maria da Feira;30859;
;11A1314: Santo Tirso;15478;
;11A0116: São João da Madeira;9332;
;11A1318: Trofa;13710;
;11A0119: Vale de Cambra;6028;
;11A1315: Valongo;14506;
;11A1316: Vila do Conde;21377;
;11A1317: Vila Nova de Gaia;56955;
;11B: Alto Tâmega e Barroso;12050;
;11B1702: Boticas;793;
;11B1703: Chaves;6370;
;11B1706: Montalegre;963;
;11B1709: Ribeira de Pena;946;
;11B1712: Valpaços;1501;
;11B1713: Vila Pouca de Aguiar;1477;
;11C: Tâmega e Sousa;89433;
;11C1301: Amarante;9173;
;11C1302: Baião;2106;
;11C0106: Castelo de Paiva;3128;
;11C0305: Celorico de Basto;2284;
;11C1804: Cinfães;3781;
;11C1303: Felgueiras;16900;
;11C1305: Lousada;10378;
;11C1307: Marco de Canaveses;9766;
;11C1309: Paços de Ferreira;15363;
;11C1311: Penafiel;15508;
;11C1813: Resende;1046;
;11D: Douro;29065;
;11D1701: Alijó;1491;
;11D1801: Armamar;1047;
;11D0403: Carrazeda de Ansiães;645;
;11D0404: Freixo de Espada à Cinta;414;
;11D1805: Lamego;3859;
;11D1704: Mesão Frio;433;
;11D1807: Moimenta da Beira;1419;
;11D1707: Murça;550;
;11D1812: Penedono;318;
;11D1708: Peso da Régua;2135;
;11D1710: Sabrosa;983;
;11D1711: Santa Marta de Penaguião;500;
;11D1815: São João da Pesqueira;1069;
;11D1818: Sernancelhe;931;
;11D1819: Tabuaço;533;
;11D1820: Tarouca;1055;
;11D0409: Torre de Moncorvo;898;
;11D0914: Vila Nova de Foz Côa;915;
;11D1714: Vila Real;9870;
;11E: Terras de Trás-os-Montes;15398;
;11E0401: Alfândega da Fé;431;
;11E0402: Bragança;6284;
;11E0405: Macedo de Cavaleiros;1842;
;11E0406: Miranda do Douro;902;
;11E0407: Mirandela;3295;
;11E0408: Mogadouro;975;
;11E0410: Vila Flor;767;
;11E0411: Vimioso;297;
;11E0412: Vinhais;605;
;19: Centro;378134;
;191: Região de Aveiro;99427;
;1910101: Águeda;14225;
;1910102: Albergaria-a-Velha;6793;
;1910103: Anadia;5904;
;1910105: Aveiro;27306;
;1910108: Estarreja;6998;
;1910110: Ílhavo;7775;
;1910112: Murtosa;1324;
;1910114: Oliveira do Bairro;5819;
;1910115: Ovar;14709;
;1910117: Sever do Vouga;2415;
;1910118: Vagos;6159;
;192: Região de Coimbra;88887;
;1920601: Arganil;1830;
;1920602: Cantanhede;7458;
;1920603: Coimbra;31726;
;1920604: Condeixa-a-Nova;2363;
;1920605: Figueira da Foz;14027;
;1920606: Góis;485;
;1920607: Lousã;2695;
;1920111: Mealhada;4941;
;1920608: Mira;1828;
;1920609: Miranda do Corvo;1260;
;1920610: Montemor-o-Velho;3543;
;1921808: Mortágua;2736;
;1920611: Oliveira do Hospital;3727;
;1920612: Pampilhosa da Serra;501;
;1920613: Penacova;1945;
;1920614: Penela;1612;
;1920615: Soure;2158;
;1920616: Tábua;2556;
;1920617: Vila Nova de Poiares;1496;
;193: Região de Leiria;78371;
;1931002: Alvaiázere;1208;
;1931003: Ansião;2605;
;1931004: Batalha;4363;
;1931007: Castanheira de Pêra;418;
;1931008: Figueiró dos Vinhos;740;
;1931009: Leiria;39857;
;1931010: Marinha Grande;10198;
;1931013: Pedrógão Grande;472;
;1931015: Pombal;13163;
;1931016: Porto de Mós;5347;
;194: Viseu Dão Lafões;56351;
;1940901: Aguiar da Beira;965;
;1941802: Carregal do Sal;2379;
;1941803: Castro Daire;1972;
;1941806: Mangualde;4961;
;1941809: Nelas;3028;
;1941810: Oliveira de Frades;3491;
;1941811: Penalva do Castelo;928;
;1941814: Santa Comba Dão;1434;
;1941816: São Pedro do Sul;2163;
;1941817: Sátão;1485;
;1941821: Tondela;5993;
;1941822: Vila Nova de Paiva;569;
;1941823: Viseu;25208;
;1941824: Vouzela;1775;
;195: Beira Baixa;16963;
;1950502: Castelo Branco;10017;
;1950505: Idanha-a-Nova;939;
;1950506: Oleiros;631;
;1950507: Penamacor;469;
;1950508: Proença-a-Nova;1017;
;1950509: Sertã;2449;
;1950510: Vila de Rei;557;
;1950511: Vila Velha de Ródão;884;
;196: Beiras e Serra da Estrela;38135;
;1960902: Almeida;785;
;1960501: Belmonte;1106;
;1960903: Celorico da Beira;1031;
;1960503: Covilhã;8723;
;1960904: Figueira de Castelo Rodrigo;692;
;1960905: Fornos de Algodres;675;
;1960504: Fundão;5697;
;1960906: Gouveia;1653;
;1960907: Guarda;9380;
;1960908: Manteigas;542;
;1960909: Mêda;549;
;1960910: Pinhel;1125;
;1960911: Sabugal;1367;
;1960912: Seia;3379;
;1960913: Trancoso;1431;
;1D: Oeste e Vale do Tejo;170721;
;1D1: Oeste;78751;
;1D11001: Alcobaça;12983;
;1D11101: Alenquer;10273;
;1D11102: Arruda dos Vinhos;3030;
;1D11005: Bombarral;2193;
;1D11104: Cadaval;2026;
;1D11006: Caldas da Rainha;11500;
;1D11108: Lourinhã;4449;
;1D11011: Nazaré;2875;
;1D11012: Óbidos;3605;
;1D11014: Peniche;4623;
;1D11112: Sobral de Monte Agraço;1490;
;1D11113: Torres Vedras;19704;
;1D2: Médio Tejo;42355;
;1D21401: Abrantes;5957;
;1D21402: Alcanena;3249;
;1D21408: Constância;843;
;1D21410: Entroncamento;3268;
;1D21411: Ferreira do Zêzere;1692;
;1D21413: Mação;1057;
;1D21421: Ourém;12532;
;1D21417: Sardoal;347;
;1D21418: Tomar;5725;
;1D21419: Torres Novas;7062;
;1D21420: Vila Nova da Barquinha;623;
;1D3: Lezíria do Tejo;49615;
;1D31403: Almeirim;3313;
;1D31404: Alpiarça;1062;
;1D31103: Azambuja;9906;
;1D31405: Benavente;7043;
;1D31406: Cartaxo;2753;
;1D31407: Chamusca;1570;
;1D31409: Coruche;2664;
;1D31412: Golegã;951;
;1D31414: Rio Maior;4694;
;1D31415: Salvaterra de Magos;2815;
;1D31416: Santarém;12844;
;1A: Grande Lisboa;706031;
;1A0: Grande Lisboa;706031;
;1A01115: Amadora;35358;
;1A01105: Cascais;39649;
;1A01106: Lisboa;375043;
;1A01107: Loures;47085;
;1A01109: Mafra;19700;
;1A01116: Odivelas;17959;
;1A01110: Oeiras;87525;
;1A01111: Sintra;58336;
;1A01114: Vila Franca de Xira;25376;
;1B: Península de Setúbal;110615;
;1B0: Península de Setúbal;110615;
;1B01502: Alcochete;4974;
;1B01503: Almada;21654;
;1B01504: Barreiro;8137;
;1B01506: Moita;5161;
;1B01507: Montijo;9986;
;1B01508: Palmela;16831;
;1B01510: Seixal;18908;
;1B01511: Sesimbra;5435;
;1B01512: Setúbal;19529;
;1C: Alentejo;96205;
;1C1: Alentejo Litoral;25135;
;1C11501: Alcácer do Sal;2119;
;1C11505: Grândola;2824;
;1C10211: Odemira;9106;
;1C11509: Santiago do Cacém;5336;
;1C11513: Sines;5750;
;1C2: Baixo Alentejo;21658;
;1C20201: Aljustrel;1942;
;1C20202: Almodôvar;785;
;1C20203: Alvito;276;
;1C20204: Barrancos;202;
;1C20205: Beja;7715;
;1C20206: Castro Verde;2820;
;1C20207: Cuba;376;
;1C20208: Ferreira do Alentejo;1472;
;1C20209: Mértola;799;
;1C20210: Moura;1803;
;1C20212: Ourique;679;
;1C20213: Serpa;1955;
;1C20214: Vidigueira;834;
;1C3: Alto Alentejo;17545;
;1C31201: Alter do Chão;449;
;1C31202: Arronches;398;
;1C31203: Avis;744;
;1C31204: Campo Maior;2101;
;1C31205: Castelo de Vide;439;
;1C31206: Crato;418;
;1C31207: Elvas;3771;
;1C31208: Fronteira;363;
;1C31209: Gavião;354;
;1C31210: Marvão;426;
;1C31211: Monforte;521;
;1C31212: Nisa;673;
;1C31213: Ponte de Sor;2377;
;1C31214: Portalegre;3794;
;1C31215: Sousel;717;
;1C4: Alentejo Central;31867;
;1C40701: Alandroal;593;
;1C40702: Arraiolos;1096;
;1C40703: Borba;876;
;1C40704: Estremoz;2693;
;1C40705: Évora;15243;
;1C40706: Montemor-o-Novo;2881;
;1C40707: Mora;701;
;1C40708: Mourão;287;
;1C40709: Portel;642;
;1C40710: Redondo;953;
;1C40711: Reguengos de Monsaraz;1726;
;1C40712: Vendas Novas;2147;
;1C40713: Viana do Alentejo;716;
;1C40714: Vila Viçosa;1313;
;15: Algarve;124259;
;150: Algarve;124259;
;1500801: Albufeira;19102;
;1500802: Alcoutim;189;
;1500803: Aljezur;1185;
;1500804: Castro Marim;1130;
;1500805: Faro;19033;
;1500806: Lagoa;7485;
;1500807: Lagos;9061;
;1500808: Loulé;25441;
;1500809: Monchique;761;
;1500810: Olhão;6947;
;1500811: Portimão;15001;
;1500812: São Brás de Alportel;1667;
;1500813: Silves;6480;
;1500814: Tavira;5583;
;1500815: Vila do Bispo;1189;
;1500816: Vila Real de Santo António;4005;
;2: Região Autónoma dos Açores;44584;
;20: Região Autónoma dos Açores;44584;
;200: Região Autónoma dos Açores;44584;
;2004301: Angra do Heroísmo;6100;
;2004501: Calheta (R.A.A.);384;
;2004901: Corvo;51;
;2004701: Horta;2635;
;2004201: Lagoa (R.A.A.);2162;
;2004801: Lajes das Flores;136;
;2004601: Lajes do Pico;408;
;2004602: Madalena;1218;
;2004202: Nordeste;452;
;2004203: Ponta Delgada;18038;
;2004204: Povoação;871;
;2004205: Ribeira Grande;4862;
