
Quadro extraído em 09 de Dezembro de 2025 (22:21:16)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de atração líquida (%) de população empregada por conta de outrem por Localização geográfica (NUTS - 2024) -  Anual (1) ;
;Período de referência dos dados;
;2023;
;% ;
PT: Portugal;x x;
1: Continente;0;
11: Norte;0,1;
111: Alto Minho;0,2;
1111601: Arcos de Valdevez;-0,9;
1111602: Caminha;-2,6;
1111603: Melgaço;-0,6;
1111604: Monção;2,7;
1111605: Paredes de Coura;6,2;
1111606: Ponte da Barca;2,8;
1111607: Ponte de Lima;0,3;
1111608: Valença;-7,8;
1111609: Viana do Castelo;0,9;
1111610: Vila Nova de Cerveira;1,7;
112: Cávado;-0,4;
1120301: Amares;-1,3;
1120302: Barcelos;0,8;
1120303: Braga;-1;
1120306: Esposende;-1,7;
1120310: Terras de Bouro;-4,7;
1120313: Vila Verde;1,7;
119: Ave;-0,3;
1190304: Cabeceiras de Basto;-1,3;
1190307: Fafe;-0,2;
1190308: Guimarães;0;
1191705: Mondim de Basto;1,2;
1190309: Póvoa de Lanhoso;2,6;
1190311: Vieira do Minho;-1,4;
1190312: Vila Nova de Famalicão;-0,9;
1190314: Vizela;-0,6;
11A: Área Metropolitana do Porto;0,4;
11A0104: Arouca;0,4;
11A0107: Espinho;0,3;
11A1304: Gondomar;-0,4;
11A1306: Maia;-1,3;
11A1308: Matosinhos;0,5;
11A0113: Oliveira de Azeméis;-1,2;
11A1310: Paredes;0,2;
11A1312: Porto;1,2;
11A1313: Póvoa de Varzim;1,6;
11A0109: Santa Maria da Feira;0,3;
11A1314: Santo Tirso;1,4;
11A0116: São João da Madeira;-3;
11A1318: Trofa;4,8;
11A0119: Vale de Cambra;0,3;
11A1315: Valongo;-0,5;
11A1316: Vila do Conde;1;
11A1317: Vila Nova de Gaia;0,1;
11B: Alto Tâmega e Barroso;-0,1;
11B1702: Boticas;-0,9;
11B1703: Chaves;0,1;
11B1706: Montalegre;-0,2;
11B1709: Ribeira de Pena;2,2;
11B1712: Valpaços;-1;
11B1713: Vila Pouca de Aguiar;-0,9;
11C: Tâmega e Sousa;0,1;
11C1301: Amarante;0,7;
11C1302: Baião;-5,2;
11C0106: Castelo de Paiva;0,9;
11C0305: Celorico de Basto;0,7;
11C1804: Cinfães;-5,4;
11C1303: Felgueiras;-0,4;
11C1305: Lousada;1,7;
11C1307: Marco de Canaveses;0,8;
11C1309: Paços de Ferreira;-0,3;
11C1311: Penafiel;0,6;
11C1813: Resende;8,8;
11D: Douro;-0,1;
11D1701: Alijó;1,8;
11D1801: Armamar;-4,1;
11D0403: Carrazeda de Ansiães;0,3;
11D0404: Freixo de Espada à Cinta;-1,6;
11D1805: Lamego;-1,4;
11D1704: Mesão Frio;-1,4;
11D1807: Moimenta da Beira;-0,3;
11D1707: Murça;-1,2;
11D1812: Penedono;-1,9;
11D1708: Peso da Régua;-1,1;
11D1710: Sabrosa;-2,2;
11D1711: Santa Marta de Penaguião;5,9;
11D1815: São João da Pesqueira;0,7;
11D1818: Sernancelhe;-4,6;
11D1819: Tabuaço;-1,8;
11D1820: Tarouca;0,2;
11D0409: Torre de Moncorvo;-0,3;
11D0914: Vila Nova de Foz Côa;-1,1;
11D1714: Vila Real;1,4;
11E: Terras de Trás-os-Montes;-0,6;
11E0401: Alfândega da Fé;-3,4;
11E0402: Bragança;-0,2;
11E0405: Macedo de Cavaleiros;-0,4;
11E0406: Miranda do Douro;-0,1;
11E0407: Mirandela;-1,3;
11E0408: Mogadouro;0,2;
11E0410: Vila Flor;0,1;
11E0411: Vimioso;-1,6;
11E0412: Vinhais;-1,9;
19: Centro;0;
191: Região de Aveiro;0,1;
1910101: Águeda;0,2;
1910102: Albergaria-a-Velha;-0,1;
1910103: Anadia;1,2;
1910105: Aveiro;-0,5;
1910108: Estarreja;1,1;
1910110: Ílhavo;-0,6;
1910112: Murtosa;-2,9;
1910114: Oliveira do Bairro;-0,5;
1910115: Ovar;-0,3;
1910117: Sever do Vouga;-0,4;
1910118: Vagos;5;
192: Região de Coimbra;-0,4;
1920601: Arganil;-0,3;
1920602: Cantanhede;0,5;
1920603: Coimbra;-1,2;
1920604: Condeixa-a-Nova;-0,6;
1920605: Figueira da Foz;-0,3;
1920606: Góis;-1,5;
1920607: Lousã;1,2;
1920111: Mealhada;-2;
1920608: Mira;1,1;
1920609: Miranda do Corvo;0,6;
1920610: Montemor-o-Velho;3,9;
1921808: Mortágua;0,3;
1920611: Oliveira do Hospital;0,2;
1920612: Pampilhosa da Serra;-2,9;
