
Quadro extraído em 09 de Dezembro de 2025 (18:37:19)
http://www.ine.pt



Período de referência dos dados (1) ;Localização geográfica (NUTS - 2024) (2) ;Taxa de transição/ conclusão no ensino secundário (%) por Localização geográfica (NUTS - 2024), Sexo e Oferta -  Anual;
;;Sexo;
;;HM;
;;Oferta;
;;Total;
;;% ;
2021 / 2022;PT: Portugal;91,4;
;1: Continente;91,6;
;11: Norte;94,4;
;111: Alto Minho;95,3;
;1111601: Arcos de Valdevez;94;
;1111602: Caminha;94,1;
;1111603: Melgaço;97,1;
;1111604: Monção;95,1;
;1111605: Paredes de Coura;96,7;
;1111606: Ponte da Barca;95,1;
;1111607: Ponte de Lima;96,5;
;1111608: Valença;89;
;1111609: Viana do Castelo;95,5;
;1111610: Vila Nova de Cerveira;96,9;
;112: Cávado;94;
;1120301: Amares;95,3;
;1120302: Barcelos;96,2;
;1120303: Braga;92,4;
;1120306: Esposende;95,3;
;1120310: Terras de Bouro;97,6;
;1120313: Vila Verde;96,5;
;119: Ave;96;
;1190304: Cabeceiras de Basto;98,3;
;1190307: Fafe;97,4;
;1190308: Guimarães;96,4;
;1191705: Mondim de Basto;96,4;
;1190309: Póvoa de Lanhoso;92,5;
;1190311: Vieira do Minho;93,1;
;1190312: Vila Nova de Famalicão;95,5;
;1190314: Vizela;95,8;
;11A: Área Metropolitana do Porto;93,8;
;11A0104: Arouca;94,7;
;11A0107: Espinho;93,5;
;11A1304: Gondomar;93,9;
;11A1306: Maia;92,9;
;11A1308: Matosinhos;91,6;
;11A0113: Oliveira de Azeméis;96,4;
;11A1310: Paredes;94,3;
;11A1312: Porto;93,3;
;11A1313: Póvoa de Varzim;91,4;
;11A0109: Santa Maria da Feira;95,8;
;11A1314: Santo Tirso;96;
;11A0116: São João da Madeira;96,7;
;11A1318: Trofa;93,9;
;11A0119: Vale de Cambra;96,3;
;11A1315: Valongo;94;
;11A1316: Vila do Conde;94,3;
;11A1317: Vila Nova de Gaia;93,7;
;11B: Alto Tâmega e Barroso;95;
;11B1702: Boticas;- -;
;11B1703: Chaves;96,5;
;11B1706: Montalegre;89,9;
;11B1709: Ribeira de Pena;95,3;
;11B1712: Valpaços;90,8;
;11B1713: Vila Pouca de Aguiar;94,3;
;11C: Tâmega e Sousa;95,7;
;11C1301: Amarante;97,9;
;11C1302: Baião;93,9;
;11C0106: Castelo de Paiva;94,7;
;11C0305: Celorico de Basto;98,2;
;11C1804: Cinfães;94,9;
;11C1303: Felgueiras;95,4;
;11C1305: Lousada;93,8;
;11C1307: Marco de Canaveses;96,6;
;11C1309: Paços de Ferreira;95,2;
;11C1311: Penafiel;95,6;
;11C1813: Resende;93,5;
;11D: Douro;94,3;
;11D1701: Alijó;93,4;
;11D1801: Armamar;98,9;
;11D0403: Carrazeda de Ansiães;96;
;11D0404: Freixo de Espada à Cinta;- -;
;11D1805: Lamego;93,5;
;11D1704: Mesão Frio;98,6;
;11D1807: Moimenta da Beira;90,3;
;11D1707: Murça;96,8;
;11D1812: Penedono;- -;
;11D1708: Peso da Régua;95,2;
;11D1710: Sabrosa;99,3;
;11D1711: Santa Marta de Penaguião;- -;
;11D1815: São João da Pesqueira;92,2;
;11D1818: Sernancelhe;97;
;11D1819: Tabuaço;94,9;
