
Quadro extraído em 09 de Dezembro de 2025 (22:00:05)
http://www.ine.pt



Local de residência (NUTS - 2024);Valor médio do subsídio de desemprego da segurança social (?/ N.º) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;?/ N.º ;
PT: Portugal;3325;
1: Continente;3334;
11: Norte;3397;
111: Alto Minho;2920;
1111601: Arcos de Valdevez;2802;
1111602: Caminha;3103;
1111603: Melgaço;3955;
1111604: Monção;3199;
1111605: Paredes de Coura;2815;
1111606: Ponte da Barca;2505;
1111607: Ponte de Lima;3055;
1111608: Valença;2816;
1111609: Viana do Castelo;2839;
1111610: Vila Nova de Cerveira;3126;
112: Cávado;3439;
1120301: Amares;3216;
1120302: Barcelos;3386;
1120303: Braga;3529;
1120306: Esposende;3300;
1120310: Terras de Bouro;2665;
1120313: Vila Verde;3453;
119: Ave;3495;
1190304: Cabeceiras de Basto;3134;
1190307: Fafe;3297;
1190308: Guimarães;3536;
1191705: Mondim de Basto;4127;
1190309: Póvoa de Lanhoso;3466;
1190311: Vieira do Minho;3382;
1190312: Vila Nova de Famalicão;3541;
1190314: Vizela;3534;
11A: Área Metropolitana do Porto;3453;
11A0104: Arouca;3254;
11A0107: Espinho;3586;
11A1304: Gondomar;3436;
11A1306: Maia;3593;
11A1308: Matosinhos;3642;
11A0113: Oliveira de Azeméis;3211;
11A1310: Paredes;3231;
11A1312: Porto;3527;
11A1313: Póvoa de Varzim;3303;
11A0109: Santa Maria da Feira;3263;
11A1314: Santo Tirso;3478;
11A0116: São João da Madeira;3090;
11A1318: Trofa;3323;
11A0119: Vale de Cambra;3252;
11A1315: Valongo;3426;
11A1316: Vila do Conde;3386;
11A1317: Vila Nova de Gaia;3541;
11B: Alto Tâmega e Barroso;3438;
11B1702: Boticas;3183;
11B1703: Chaves;3360;
11B1706: Montalegre;3451;
11B1709: Ribeira de Pena;3406;
11B1712: Valpaços;3181;
11B1713: Vila Pouca de Aguiar;3897;
11C: Tâmega e Sousa;3198;
11C1301: Amarante;3199;
11C1302: Baião;3261;
11C0106: Castelo de Paiva;3263;
11C0305: Celorico de Basto;3402;
11C1804: Cinfães;3324;
11C1303: Felgueiras;3129;
11C1305: Lousada;2919;
11C1307: Marco de Canaveses;3397;
11C1309: Paços de Ferreira;3151;
11C1311: Penafiel;3276;
11C1813: Resende;3667;
11D: Douro;3416;
11D1701: Alijó;3469;
11D1801: Armamar;3354;
11D0403: Carrazeda de Ansiães;3355;
11D0404: Freixo de Espada à Cinta;3682;
11D1805: Lamego;3369;
11D1704: Mesão Frio;3651;
11D1807: Moimenta da Beira;3734;
11D1707: Murça;3740;
11D1812: Penedono;3377;
11D1708: Peso da Régua;3503;
11D1710: Sabrosa;3111;
11D1711: Santa Marta de Penaguião;3256;
11D1815: São João da Pesqueira;3183;
11D1818: Sernancelhe;3265;
11D1819: Tabuaço;3346;
11D1820: Tarouca;3528;
11D0409: Torre de Moncorvo;3213;
11D0914: Vila Nova de Foz Côa;3025;
11D1714: Vila Real;3432;
11E: Terras de Trás-os-Montes;3204;
11E0401: Alfândega da Fé;3491;
11E0402: Bragança;3033;
11E0405: Macedo de Cavaleiros;3395;
11E0406: Miranda do Douro;4207;
11E0407: Mirandela;3119;
11E0408: Mogadouro;3145;
11E0410: Vila Flor;3479;
11E0411: Vimioso;3505;
11E0412: Vinhais;3231;
19: Centro;3190;
191: Região de Aveiro;3242;
1910101: Águeda;2945;
1910102: Albergaria-a-Velha;3346;
1910103: Anadia;3449;
1910105: Aveiro;3274;
1910108: Estarreja;3446;
1910110: Ílhavo;3060;
1910112: Murtosa;3183;
1910114: Oliveira do Bairro;2834;
1910115: Ovar;3458;
1910117: Sever do Vouga;3343;
1910118: Vagos;3140;
192: Região de Coimbra;3230;
1920601: Arganil;3340;
1920602: Cantanhede;3190;
1920603: Coimbra;3294;
1920604: Condeixa-a-Nova;3014;
1920605: Figueira da Foz;3242;
1920606: Góis;4012;
1920607: Lousã;3022;
1920111: Mealhada;3408;
1920608: Mira;2975;
1920609: Miranda do Corvo;3066;
1920610: Montemor-o-Velho;3054;
1921808: Mortágua;2780;
1920611: Oliveira do Hospital;3141;
1920612: Pampilhosa da Serra;3187;
1920613: Penacova;3347;
1920614: Penela;3428;
1920615: Soure;3519;
1920616: Tábua;3132;
1920617: Vila Nova de Poiares;3421;
193: Região de Leiria;3182;
1931002: Alvaiázere;3026;
1931003: Ansião;3401;
1931004: Batalha;3083;
1931007: Castanheira de Pêra;2978;
