
Quadro extraído em 09 de Dezembro de 2025 (22:07:52)
http://www.ine.pt



Local de residência (NUTS - 2024);Valor processado de subsídios de desemprego da segurança social (?) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;? (milhares);
PT: Portugal;1150660;
1: Continente;1104013;
11: Norte;418655;
111: Alto Minho;16993;
1111601: Arcos de Valdevez;1012;
1111602: Caminha;1229;
1111603: Melgaço;241;
1111604: Monção;1123;
1111605: Paredes de Coura;819;
1111606: Ponte da Barca;488;
1111607: Ponte de Lima;2596;
1111608: Valença;1346;
1111609: Viana do Castelo;7219;
1111610: Vila Nova de Cerveira;919;
112: Cávado;41543;
1120301: Amares;1676;
1120302: Barcelos;10002;
1120303: Braga;22575;
1120306: Esposende;2712;
1120310: Terras de Bouro;704;
1120313: Vila Verde;3874;
119: Ave;59219;
1190304: Cabeceiras de Basto;1420;
1190307: Fafe;7193;
1190308: Guimarães;25965;
1191705: Mondim de Basto;528;
1190309: Póvoa de Lanhoso;1892;
1190311: Vieira do Minho;1265;
1190312: Vila Nova de Famalicão;16569;
1190314: Vizela;4386;
11A: Área Metropolitana do Porto;226158;
11A0104: Arouca;1559;
11A0107: Espinho;3862;
11A1304: Gondomar;21362;
11A1306: Maia;16796;
11A1308: Matosinhos;23306;
11A0113: Oliveira de Azeméis;7791;
11A1310: Paredes;9432;
11A1312: Porto;31140;
11A1313: Póvoa de Varzim;7846;
11A0109: Santa Maria da Feira;16787;
11A1314: Santo Tirso;9959;
11A0116: São João da Madeira;3479;
11A1318: Trofa;5270;
11A0119: Vale de Cambra;1938;
11A1315: Valongo;12063;
11A1316: Vila do Conde;10811;
11A1317: Vila Nova de Gaia;42757;
11B: Alto Tâmega e Barroso;5952;
11B1702: Boticas;201;
11B1703: Chaves;2812;
11B1706: Montalegre;469;
11B1709: Ribeira de Pena;501;
11B1712: Valpaços;741;
11B1713: Vila Pouca de Aguiar;1228;
11C: Tâmega e Sousa;45903;
11C1301: Amarante;5401;
11C1302: Baião;1350;
11C0106: Castelo de Paiva;1318;
11C0305: Celorico de Basto;1568;
11C1804: Cinfães;2027;
11C1303: Felgueiras;8821;
11C1305: Lousada;5639;
11C1307: Marco de Canaveses;5789;
11C1309: Paços de Ferreira;6374;
11C1311: Penafiel;6794;
11C1813: Resende;821;
11D: Douro;16466;
11D1701: Alijó;753;
11D1801: Armamar;506;
11D0403: Carrazeda de Ansiães;329;
11D0404: Freixo de Espada à Cinta;173;
11D1805: Lamego;2793;
11D1704: Mesão Frio;274;
11D1807: Moimenta da Beira;978;
11D1707: Murça;479;
11D1812: Penedono;135;
11D1708: Peso da Régua;1377;
11D1710: Sabrosa;423;
11D1711: Santa Marta de Penaguião;544;
11D1815: São João da Pesqueira;337;
11D1818: Sernancelhe;258;
11D1819: Tabuaço;391;
11D1820: Tarouca;713;
11D0409: Torre de Moncorvo;546;
11D0914: Vila Nova de Foz Côa;330;
11D1714: Vila Real;5127;
11E: Terras de Trás-os-Montes;6420;
11E0401: Alfândega da Fé;360;
11E0402: Bragança;2262;
11E0405: Macedo de Cavaleiros;832;
11E0406: Miranda do Douro;223;
11E0407: Mirandela;1491;
11E0408: Mogadouro;406;
11E0410: Vila Flor;372;
11E0411: Vimioso;168;
11E0412: Vinhais;307;
19: Centro;147682;
191: Região de Aveiro;38177;
1910101: Águeda;3766;
1910102: Albergaria-a-Velha;2419;
1910103: Anadia;2642;
1910105: Aveiro;9083;
1910108: Estarreja;3111;
1910110: Ílhavo;4104;
1910112: Murtosa;1034;
1910114: Oliveira do Bairro;2043;
1910115: Ovar;7539;
1910117: Sever do Vouga;642;
1910118: Vagos;1793;
192: Região de Coimbra;38048;
1920601: Arganil;778;
1920602: Cantanhede;2922;
1920603: Coimbra;12725;
1920604: Condeixa-a-Nova;1299;
1920605: Figueira da Foz;6665;
1920606: Góis;233;
1920607: Lousã;1405;
1920111: Mealhada;2212;
1920608: Mira;1029;
1920609: Miranda do Corvo;840;
1920610: Montemor-o-Velho;2058;
1921808: Mortágua;553;
1920611: Oliveira do Hospital;1593;
1920612: Pampilhosa da Serra;131;
1920613: Penacova;800;
1920614: Penela;285;
1920615: Soure;1207;
1920616: Tábua;742;
1920617: Vila Nova de Poiares;571;
193: Região de Leiria;26347;
1931002: Alvaiázere;227;
1931003: Ansião;707;
1931004: Batalha;1400;
1931007: Castanheira de Pêra;185;
1931008: Figueiró dos Vinhos;268;
1931009: Leiria;12376;
1931010: Marinha Grande;6072;
1931013: Pedrógão Grande;178;
