
Quadro extraído em 19 de Dezembro de 2025 (11:59:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Taxa de crescimento efetivo (%) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;% ;
PT: Portugal;1,16;
1: Continente;1,19;
11: Norte;0,92;
111: Alto Minho;0,66;
1111601: Arcos de Valdevez;0,7;
1111602: Caminha;1,45;
1111603: Melgaço;-0,21;
1111604: Monção;0,65;
1111605: Paredes de Coura;0,38;
1111606: Ponte da Barca;0,66;
1111607: Ponte de Lima;0,16;
1111608: Valença;1,62;
1111609: Viana do Castelo;0,61;
1111610: Vila Nova de Cerveira;1,47;
112: Cávado;1,25;
1120301: Amares;1,86;
1120302: Barcelos;0,27;
1120303: Braga;1,66;
1120306: Esposende;1,81;
1120310: Terras de Bouro;0,34;
1120313: Vila Verde;1,31;
119: Ave;0,49;
1190304: Cabeceiras de Basto;0,33;
1190307: Fafe;0,34;
1190308: Guimarães;0,19;
1191705: Mondim de Basto;-0,06;
1190309: Póvoa de Lanhoso;1,32;
1190311: Vieira do Minho;0,72;
1190312: Vila Nova de Famalicão;0,68;
1190314: Vizela;0,95;
11A: Área Metropolitana do Porto;1,27;
11A0104: Arouca;-0,12;
11A0107: Espinho;1,58;
11A1304: Gondomar;0,79;
11A1306: Maia;1,6;
11A1308: Matosinhos;1,35;
11A0113: Oliveira de Azeméis;0,61;
11A1310: Paredes;0,74;
11A1312: Porto;2,34;
11A1313: Póvoa de Varzim;1,89;
11A0109: Santa Maria da Feira;0,92;
11A1314: Santo Tirso;0,18;
11A0116: São João da Madeira;2,18;
11A1318: Trofa;1,05;
11A0119: Vale de Cambra;0,03;
11A1315: Valongo;1,77;
11A1316: Vila do Conde;1,59;
11A1317: Vila Nova de Gaia;0,87;
11B: Alto Tâmega;0,19;
11B1702: Boticas;-0,29;
11B1703: Chaves;0,25;
11B1706: Montalegre;0,03;
11B1709: Ribeira de Pena;0,43;
11B1712: Valpaços;0,23;
11B1713: Vila Pouca de Aguiar;0,16;
11C: Tâmega e Sousa;0,23;
11C1301: Amarante;0,31;
