
Quadro extraído em 19 de Dezembro de 2025 (11:10:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência de jovens (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
PT: Portugal;20,3;
1: Continente;20,4;
11: Norte;18,8;
111: Alto Minho;18,3;
1111601: Arcos de Valdevez;16,8;
1111602: Caminha;18,5;
1111603: Melgaço;15,2;
1111604: Monção;17,3;
1111605: Paredes de Coura;17,6;
1111606: Ponte da Barca;17,5;
1111607: Ponte de Lima;18;
1111608: Valença;19,9;
1111609: Viana do Castelo;19,2;
1111610: Vila Nova de Cerveira;17,9;
112: Cávado;19,5;
1120301: Amares;19;
1120302: Barcelos;18,2;
1120303: Braga;20,2;
1120306: Esposende;20,5;
1120310: Terras de Bouro;16;
1120313: Vila Verde;19,9;
119: Ave;18,5;
1190304: Cabeceiras de Basto;17,8;
1190307: Fafe;18,2;
1190308: Guimarães;18,6;
1191705: Mondim de Basto;15,5;
1190309: Póvoa de Lanhoso;18,1;
1190311: Vieira do Minho;15,8;
1190312: Vila Nova de Famalicão;19;
1190314: Vizela;19;
11A: Área Metropolitana do Porto;19,2;
11A0104: Arouca;19,2;
11A0107: Espinho;17,8;
11A1304: Gondomar;19;
11A1306: Maia;19,9;
11A1308: Matosinhos;19,4;
11A0113: Oliveira de Azeméis;17,9;
11A1310: Paredes;19,4;
11A1312: Porto;19,1;
11A1313: Póvoa de Varzim;19,6;
11A0109: Santa Maria da Feira;19;
11A1314: Santo Tirso;17;
11A0116: São João da Madeira;18,3;
11A1318: Trofa;18,7;
11A0119: Vale de Cambra;17,4;
11A1315: Valongo;19,8;
11A1316: Vila do Conde;20,4;
11A1317: Vila Nova de Gaia;19,5;
11B: Alto Tâmega;16,3;
11B1702: Boticas;16,4;
11B1703: Chaves;17,1;
11B1706: Montalegre;14,6;
11B1709: Ribeira de Pena;16,4;
11B1712: Valpaços;15,9;
11B1713: Vila Pouca de Aguiar;15,1;
11C: Tâmega e Sousa;18,2;
11C1301: Amarante;17,6;
11C1302: Baião;16;
