
Quadro extraído em 19 de Dezembro de 2025 (11:14:13)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
PT: Portugal;188,1;
1: Continente;190,2;
11: Norte;197,4;
111: Alto Minho;263;
1111601: Arcos de Valdevez;397,1;
1111602: Caminha;276,5;
1111603: Melgaço;582,7;
1111604: Monção;357,4;
1111605: Paredes de Coura;300,3;
1111606: Ponte da Barca;292,2;
1111607: Ponte de Lima;219,9;
1111608: Valença;219;
1111609: Viana do Castelo;224,6;
1111610: Vila Nova de Cerveira;242;
112: Cávado;161,3;
1120301: Amares;182;
1120302: Barcelos;176,9;
1120303: Braga;146;
1120306: Esposende;155,3;
1120310: Terras de Bouro;317,1;
1120313: Vila Verde;174;
119: Ave;185,2;
1190304: Cabeceiras de Basto;212,1;
1190307: Fafe;214;
1190308: Guimarães;179,4;
1191705: Mondim de Basto;311,9;
1190309: Póvoa de Lanhoso;200;
1190311: Vieira do Minho;336;
1190312: Vila Nova de Famalicão;169,5;
1190314: Vizela;148,1;
11A: Área Metropolitana do Porto;185,4;
11A0104: Arouca;212,1;
11A0107: Espinho;268,1;
11A1304: Gondomar;185,4;
11A1306: Maia;153,6;
11A1308: Matosinhos;195,5;
11A0113: Oliveira de Azeméis;215,9;
11A1310: Paredes;133,2;
11A1312: Porto;215,2;
11A1313: Póvoa de Varzim;166,8;
11A0109: Santa Maria da Feira;183;
11A1314: Santo Tirso;242,8;
11A0116: São João da Madeira;194;
11A1318: Trofa;170,3;
11A0119: Vale de Cambra;281,3;
11A1315: Valongo;156,1;
11A1316: Vila do Conde;159,4;
11A1317: Vila Nova de Gaia;180,5;
11B: Alto Tâmega;407,5;
11B1702: Boticas;446,6;
11B1703: Chaves;347,8;
11B1706: Montalegre;541,4;
11B1709: Ribeira de Pena;345;
11B1712: Valpaços;511,1;
11B1713: Vila Pouca de Aguiar;429,1;
11C: Tâmega e Sousa;169;
11C1301: Amarante;211,1;
11C1302: Baião;233,8;
11C0106: Castelo de Paiva;204,4;
