
Quadro extraído em 19 de Dezembro de 2025 (10:34:05)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
PT: Portugal;58,5;
1: Continente;59,1;
11: Norte;55,8;
111: Alto Minho;66,5;
1111601: Arcos de Valdevez;83,6;
1111602: Caminha;69,7;
1111603: Melgaço;103,5;
1111604: Monção;79,1;
1111605: Paredes de Coura;70,6;
1111606: Ponte da Barca;68,5;
1111607: Ponte de Lima;57,7;
1111608: Valença;63,5;
1111609: Viana do Castelo;62,2;
1111610: Vila Nova de Cerveira;61,4;
112: Cávado;51;
1120301: Amares;53,5;
1120302: Barcelos;50,4;
1120303: Braga;49,6;
1120306: Esposende;52,4;
1120310: Terras de Bouro;66,7;
1120313: Vila Verde;54,6;
119: Ave;52,9;
1190304: Cabeceiras de Basto;55,4;
1190307: Fafe;57,1;
1190308: Guimarães;51,9;
1191705: Mondim de Basto;64;
1190309: Póvoa de Lanhoso;54,3;
1190311: Vieira do Minho;69;
1190312: Vila Nova de Famalicão;51,3;
1190314: Vizela;47,2;
11A: Área Metropolitana do Porto;54,8;
11A0104: Arouca;60,1;
11A0107: Espinho;65,6;
11A1304: Gondomar;54,2;
11A1306: Maia;50,5;
11A1308: Matosinhos;57,4;
11A0113: Oliveira de Azeméis;56,4;
11A1310: Paredes;45,3;
11A1312: Porto;60,4;
11A1313: Póvoa de Varzim;52,4;
11A0109: Santa Maria da Feira;53,8;
11A1314: Santo Tirso;58,3;
11A0116: São João da Madeira;53,9;
11A1318: Trofa;50,6;
11A0119: Vale de Cambra;66,4;
11A1315: Valongo;50,7;
11A1316: Vila do Conde;53;
11A1317: Vila Nova de Gaia;54,6;
11B: Alto Tâmega;82,6;
11B1702: Boticas;89,9;
11B1703: Chaves;76,8;
11B1706: Montalegre;93,6;
11B1709: Ribeira de Pena;73;
11B1712: Valpaços;96,9;
11B1713: Vila Pouca de Aguiar;79,7;
11C: Tâmega e Sousa;48,9;
11C1301: Amarante;54,7;
11C1302: Baião;53,5;
