
Statistical table extracted on December 19, 2025 (10:20:33)
http://www.ine.pt



Place of residence (NUTS - 2013) (1) ;Population change (No.) by Place of residence (NUTS - 2013) -  Annual (3) ;
;Data reference period (2) ;
;2023;
;No. ;
PT: Portugal;123105;
1: Continente;119653;
11: Norte;33567;
111: Alto Minho;1541;
1111601: Arcos de Valdevez;146;
1111602: Caminha;236;
1111603: Melgaço;-16;
1111604: Monção;117;
1111605: Paredes de Coura;33;
1111606: Ponte da Barca;73;
1111607: Ponte de Lima;64;
1111608: Valença;227;
1111609: Viana do Castelo;525;
1111610: Vila Nova de Cerveira;136;
112: Cávado;5328;
1120301: Amares;361;
1120302: Barcelos;321;
1120303: Braga;3328;
1120306: Esposende;667;
1120310: Terras de Bouro;22;
1120313: Vila Verde;629;
119: Ave;2046;
1190304: Cabeceiras de Basto;51;
1190307: Fafe;164;
1190308: Guimarães;295;
1191705: Mondim de Basto;-4;
1190309: Póvoa de Lanhoso;296;
1190311: Vieira do Minho;86;
1190312: Vila Nova de Famalicão;926;
1190314: Vizela;232;
11A: Área Metropolitana do Porto;22670;
11A0104: Arouca;-26;
11A0107: Espinho;509;
11A1304: Gondomar;1331;
11A1306: Maia;2262;
11A1308: Matosinhos;2415;
11A0113: Oliveira de Azeméis;408;
11A1310: Paredes;630;
11A1312: Porto;5753;
11A1313: Póvoa de Varzim;1266;
11A0109: Santa Maria da Feira;1284;
11A1314: Santo Tirso;121;
11A0116: São João da Madeira;515;
11A1318: Trofa;417;
11A0119: Vale de Cambra;7;
11A1315: Valongo;1756;
11A1316: Vila do Conde;1340;
11A1317: Vila Nova de Gaia;2682;
11B: Alto Tâmega;159;
11B1702: Boticas;-14;
11B1703: Chaves;93;
11B1706: Montalegre;3;
11B1709: Ribeira de Pena;25;
11B1712: Valpaços;33;
11B1713: Vila Pouca de Aguiar;19;
11C: Tâmega e Sousa;923;
11C1301: Amarante;163;
11C1302: Baião;-77;
11C0106: Castelo de Paiva;56;
11C0305: Celorico de Basto;80;
11C1804: Cinfães;-128;
11C1303: Felgueiras;13;
11C1305: Lousada;378;
11C1307: Marco de Canaveses;116;
11C1309: Paços de Ferreira;99;
11C1311: Penafiel;321;
11C1813: Resende;-98;
11D: Douro;490;
11D1701: Alijó;-38;
11D1801: Armamar;-43;
11D0403: Carrazeda de Ansiães;-6;
11D0404: Freixo de Espada à Cinta;-32;
11D1805: Lamego;-34;
11D1704: Mesão Frio;-29;
11D1807: Moimenta da Beira;117;
11D1707: Murça;33;
11D1812: Penedono;13;
11D1708: Peso da Régua;-25;
11D1710: Sabrosa;36;
11D1711: Santa Marta de Penaguião;-10;
11D1815: São João da Pesqueira;-4;
11D1818: Sernancelhe;55;
11D1819: Tabuaço;9;
11D1820: Tarouca;137;
11D0409: Torre de Moncorvo;-6;
11D0914: Vila Nova de Foz Côa;51;
11D1714: Vila Real;266;
11E: Terras de Trás-os-Montes;410;
11E0401: Alfândega da Fé;-23;
11E0402: Bragança;389;
11E0405: Macedo de Cavaleiros;76;
11E0406: Miranda do Douro;-55;
11E0407: Mirandela;69;
11E0408: Mogadouro;-23;
11E0410: Vila Flor;11;
11E0411: Vimioso;29;
11E0412: Vinhais;-63;
16: Centro;35498;
16B: Oeste;9311;
16B1001: Alcobaça;1019;
16B1101: Alenquer;1400;
16B1102: Arruda dos Vinhos;411;
16B1005: Bombarral;441;
16B1104: Cadaval;367;
16B1006: Caldas da Rainha;1406;
16B1108: Lourinhã;716;
16B1011: Nazaré;346;
16B1012: Óbidos;467;
16B1014: Peniche;409;
16B1112: Sobral de Monte Agraço;411;
16B1113: Torres Vedras;1918;
16D: Região de Aveiro;7929;
16D0101: Águeda;557;
