
Quadro extraído em 19 de Dezembro de 2025 (10:54:24)
http://www.ine.pt



Local de residência (NUTS - 2013);População estrangeira com estatuto legal de residente (N.º) por Local de residência (NUTS - 2013) e Nacionalidade -  Anual;
;Período de referência dos dados;
;2023;
;Nacionalidade;
;Total;
;N.º ;
PT: Portugal;1044238;
1: Continente;1023941;
11: Norte;174958;
111: Alto Minho;13145;
1111601: Arcos de Valdevez;543;
1111602: Caminha;1086;
1111603: Melgaço;219;
1111604: Monção;1389;
1111605: Paredes de Coura;284;
1111606: Ponte da Barca;221;
1111607: Ponte de Lima;1060;
1111608: Valença;1885;
1111609: Viana do Castelo;5450;
1111610: Vila Nova de Cerveira;1008;
112: Cávado;28650;
1120301: Amares;756;
1120302: Barcelos;3549;
1120303: Braga;21097;
1120306: Esposende;1705;
1120310: Terras de Bouro;114;
1120313: Vila Verde;1429;
119: Ave;13072;
1190304: Cabeceiras de Basto;195;
1190307: Fafe;926;
1190308: Guimarães;5476;
1191705: Mondim de Basto;80;
1190309: Póvoa de Lanhoso;702;
1190311: Vieira do Minho;192;
1190312: Vila Nova de Famalicão;4915;
1190314: Vizela;586;
11A: Área Metropolitana do Porto;100602;
11A0104: Arouca;249;
11A0107: Espinho;1260;
11A1304: Gondomar;5488;
11A1306: Maia;6323;
11A1308: Matosinhos;10338;
11A0113: Oliveira de Azeméis;2013;
11A1310: Paredes;1837;
11A1312: Porto;35651;
11A1313: Póvoa de Varzim;4462;
11A0109: Santa Maria da Feira;2970;
11A1314: Santo Tirso;1138;
11A0116: São João da Madeira;1927;
11A1318: Trofa;1613;
11A0119: Vale de Cambra;830;
11A1315: Valongo;2922;
11A1316: Vila do Conde;4079;
11A1317: Vila Nova de Gaia;17502;
11B: Alto Tâmega;2074;
11B1702: Boticas;74;
11B1703: Chaves;1314;
11B1706: Montalegre;120;
11B1709: Ribeira de Pena;125;
11B1712: Valpaços;201;
11B1713: Vila Pouca de Aguiar;240;
11C: Tâmega e Sousa;6568;
11C1301: Amarante;871;
11C1302: Baião;209;
11C0106: Castelo de Paiva;242;
11C0305: Celorico de Basto;166;
11C1804: Cinfães;286;
11C1303: Felgueiras;897;
11C1305: Lousada;795;
11C1307: Marco de Canaveses;1037;
11C1309: Paços de Ferreira;956;
11C1311: Penafiel;1037;
11C1813: Resende;72;
11D: Douro;4432;
11D1701: Alijó;106;
11D1801: Armamar;121;
11D0403: Carrazeda de Ansiães;166;
11D0404: Freixo de Espada à Cinta;138;
11D1805: Lamego;306;
11D1704: Mesão Frio;30;
11D1807: Moimenta da Beira;285;
11D1707: Murça;73;
11D1812: Penedono;42;
11D1708: Peso da Régua;156;
11D1710: Sabrosa;47;
11D1711: Santa Marta de Penaguião;71;
11D1815: São João da Pesqueira;127;
11D1818: Sernancelhe;140;
11D1819: Tabuaço;77;
11D1820: Tarouca;131;
11D0409: Torre de Moncorvo;106;
11D0914: Vila Nova de Foz Côa;179;
11D1714: Vila Real;2131;
11E: Terras de Trás-os-Montes;6415;
11E0401: Alfândega da Fé;158;
11E0402: Bragança;4305;
11E0405: Macedo de Cavaleiros;388;
11E0406: Miranda do Douro;159;
11E0407: Mirandela;874;
11E0408: Mogadouro;142;
11E0410: Vila Flor;218;
11E0411: Vimioso;94;
11E0412: Vinhais;77;
16: Centro;155079;
16B: Oeste;36103;
16B1001: Alcobaça;4514;
16B1101: Alenquer;5087;
16B1102: Arruda dos Vinhos;1012;
16B1005: Bombarral;1047;
16B1104: Cadaval;623;
16B1006: Caldas da Rainha;6572;
16B1108: Lourinhã;2512;
16B1011: Nazaré;1879;
16B1012: Óbidos;1453;
16B1014: Peniche;2276;
16B1112: Sobral de Monte Agraço;773;
16B1113: Torres Vedras;8355;
16D: Região de Aveiro;25134;
16D0101: Águeda;3260;
16D0102: Albergaria-a-Velha;1181;
16D0103: Anadia;1482;
16D0105: Aveiro;9821;
16D0108: Estarreja;1077;
16D0110: Ílhavo;2630;
16D0112: Murtosa;340;
16D0114: Oliveira do Bairro;1784;
16D0115: Ovar;1812;
16D0117: Sever do Vouga;513;
16D0118: Vagos;1234;
16E: Região de Coimbra;29065;
16E0601: Arganil;1020;
16E0602: Cantanhede;1180;
16E0603: Coimbra;13702;
16E0604: Condeixa-a-Nova;574;
16E0605: Figueira da Foz;4743;
16E0606: Góis;328;
16E0607: Lousã;837;
16E0111: Mealhada;606;
16E0608: Mira;654;
16E0609: Miranda do Corvo;535;
16E0610: Montemor-o-Velho;558;
16E1808: Mortágua;504;
16E0611: Oliveira do Hospital;1128;
