
Statistical table extracted on December 19, 2025 (10:04:22)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2013) (2) ;Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual;
;;Sex;
;;MF;
;;Age group (By life cycles);
;;Total;
;;No. ;
2023;PT: Portugal;10639726;
;1: Continente;10142079;
;11: Norte;3673861;
;111: Alto Minho;234215;
;1111601: Arcos de Valdevez;20859;
;1111602: Caminha;16442;
;1111603: Melgaço;7599;
;1111604: Monção;18032;
;1111605: Paredes de Coura;8709;
;1111606: Ponte da Barca;11178;
;1111607: Ponte de Lima;41130;
;1111608: Valença;14159;
;1111609: Viana do Castelo;86780;
;1111610: Vila Nova de Cerveira;9327;
;112: Cávado;429833;
;1120301: Amares;19578;
;1120302: Barcelos;117005;
;1120303: Braga;201583;
;1120306: Esposende;37129;
;1120310: Terras de Bouro;6388;
;1120313: Vila Verde;48150;
;119: Ave;422464;
;1190304: Cabeceiras de Basto;15560;
;1190307: Fafe;48514;
;1190308: Guimarães;156789;
;1191705: Mondim de Basto;6405;
;1190309: Póvoa de Lanhoso;22607;
;1190311: Vieira do Minho;12066;
;1190312: Vila Nova de Famalicão;135994;
;1190314: Vizela;24529;
;11A: Área Metropolitana do Porto;1802664;
;11A0104: Arouca;20916;
;11A0107: Espinho;32393;
;11A1304: Gondomar;168582;
;11A1306: Maia;142594;
;11A1308: Matosinhos;179558;
;11A0113: Oliveira de Azeméis;67277;
;11A1310: Paredes;86015;
;11A1312: Porto;248769;
;11A1313: Póvoa de Varzim;67525;
;11A0109: Santa Maria da Feira;139837;
;11A1314: Santo Tirso;67826;
;11A0116: São João da Madeira;23863;
;11A1318: Trofa;39997;
;11A0119: Vale de Cambra;21251;
;11A1315: Valongo;100166;
;11A1316: Vila do Conde;84872;
;11A1317: Vila Nova de Gaia;311223;
;11B: Alto Tâmega;83669;
;11B1702: Boticas;4885;
;11B1703: Chaves;37419;
;11B1706: Montalegre;9142;
;11B1709: Ribeira de Pena;5861;
;11B1712: Valpaços;14590;
;11B1713: Vila Pouca de Aguiar;11772;
;11C: Tâmega e Sousa;409348;
;11C1301: Amarante;52235;
;11C1302: Baião;17201;
;11C0106: Castelo de Paiva;15448;
;11C0305: Celorico de Basto;17655;
;11C1804: Cinfães;17432;
;11C1303: Felgueiras;55429;
;11C1305: Lousada;48309;
;11C1307: Marco de Canaveses;49576;
;11C1309: Paços de Ferreira;55981;
;11C1311: Penafiel;70320;
;11C1813: Resende;9762;
;11D: Douro;184195;
;11D1701: Alijó;10324;
;11D1801: Armamar;5650;
;11D0403: Carrazeda de Ansiães;5390;
;11D0404: Freixo de Espada à Cinta;3139;
;11D1805: Lamego;24129;
;11D1704: Mesão Frio;3485;
;11D1807: Moimenta da Beira;9733;
;11D1707: Murça;5256;
;11D1812: Penedono;2804;
;11D1708: Peso da Régua;14402;
;11D1710: Sabrosa;5634;
;11D1711: Santa Marta de Penaguião;5983;
;11D1815: São João da Pesqueira;6772;
;11D1818: Sernancelhe;5793;
;11D1819: Tabuaço;5052;
