"parametro","cenario","Estimate","IC_95"
"beta_O_turn","Prior fraca",0.052,"[-2.995; 3.003]"
"beta_Y_dim","Prior fraca",0.377,"[-2.211; 3.052]"
"beta_Y_turn","Prior fraca",0.871,"[-1.305; 2.994]"
"beta_Y_setor","Prior fraca",-0.71,"[-2.027; 0.444]"
"beta_Y_grupo","Prior fraca",-0.356,"[-1.771; 0.898]"
"beta_Y_solo","Prior fraca",-0.029,"[-0.903; 0.813]"
"beta_Y_publico","Prior fraca",-1.512,"[-4.482; 0.591]"
"beta_Y_obs","Prior fraca",-0.552,"[-2.466; 1.019]"
"beta_O_turn","Prior moderada",-0.376,"[-2.205; 1.446]"
"beta_Y_dim","Prior moderada",0.436,"[-1.367; 2.275]"
"beta_Y_turn","Prior moderada",0.528,"[-0.961; 2.052]"
"beta_Y_setor","Prior moderada",-0.611,"[-1.762; 0.406]"
"beta_Y_grupo","Prior moderada",-0.287,"[-1.498; 0.809]"
"beta_Y_solo","Prior moderada",-0.043,"[-0.879; 0.757]"
"beta_Y_publico","Prior moderada",-0.88,"[-2.699; 0.67]"
"beta_Y_obs","Prior moderada",-0.398,"[-1.875; 0.937]"
"beta_O_turn","Prior informativa",-0.586,"[-1.418; 0.228]"
"beta_Y_dim","Prior informativa",0.125,"[-0.731; 0.968]"
"beta_Y_turn","Prior informativa",0.004,"[-0.78; 0.738]"
"beta_Y_setor","Prior informativa",-0.359,"[-1.07; 0.331]"
"beta_Y_grupo","Prior informativa",-0.142,"[-0.911; 0.59]"
"beta_Y_solo","Prior informativa",-0.151,"[-0.747; 0.454]"
"beta_Y_publico","Prior informativa",-0.281,"[-1.102; 0.522]"
"beta_Y_obs","Prior informativa",-0.15,"[-0.953; 0.641]"
