userId,sessId,newVisitor,visitStartTime,weekday,hour,medium,source,device,browser,country,region,transaction,sessionNumber,landingPage,hitTimeLP,secondPage,hitsTimeSecondPage,thirdPage,hitsTimeThirdPage
8000002620,9000000000000001,1,1736127360,1,1,organic,search-engine,mobile,Safari,Spain,Madrid,0,1,/product/featured-item,0,/checkout,57302,/checkout,63467
8000000109,9000000000000002,0,1737896460,7,13,referral,partner.example,mobile,Safari,United Kingdom,England,0,1,/catalog/accessories,0,/product/featured-item,2851,,
8000001139,9000000000000003,1,1736300940,3,1,referral,partner.example,tablet,Chrome,France,Ile-de-France,0,4,/catalog/electronics,0,/product/featured-item,7695,/product/featured-item,105342
8000000323,9000000000000004,1,1737860280,7,2,email,newsletter,mobile,Chrome,United Kingdom,England,0,1,/catalog/apparel,0,,,,
8000003167,9000000000000005,1,1736827500,2,4,organic,search-engine,mobile,Firefox,Portugal,Lisbon,0,1,/home,0,/product/featured-item,50520,,
8000002496,9000000000000006,0,1738186380,3,21,referral,partner.example,desktop,Chrome,Spain,Madrid,0,1,/home,0,/product/featured-item,44504,/checkout,156978
8000003298,9000000000000007,1,1736929980,3,8,cpc,paid-media,desktop,Safari,Spain,Madrid,0,1,/catalog/electronics,0,,,,
8000002634,9000000000000008,0,1737493860,2,21,referral,partner.example,desktop,Edge,Spain,Madrid,0,2,/catalog/electronics,0,,,,
8000001483,9000000000000009,1,1736551980,5,23,referral,partner.example,desktop,Safari,Portugal,Lisbon,0,2,/catalog/electronics,0,,,,
8000002443,9000000000000010,1,1735939380,5,21,cpc,paid-media,desktop,Firefox,Germany,Berlin,1,2,/catalog/accessories,0,/basket,17014,,
8000000457,9000000000000011,1,1736843640,2,8,cpc,paid-media,desktop,Safari,Portugal,Lisbon,0,1,/home,0,,,,
8000002562,9000000000000012,0,1736863080,2,13,(none),(direct),mobile,Firefox,Spain,Madrid,0,1,/home,0,/catalog/accessories,71514,,
8000001487,9000000000000013,1,1736898780,2,23,referral,partner.example,desktop,Chrome,United Kingdom,England,0,4,/product/featured-item,0,,,,
8000003137,9000000000000014,0,1736184060,1,17,referral,partner.example,mobile,Safari,United Kingdom,England,0,1,/catalog/electronics,0,/basket,29760,,
8000002752,9000000000000015,1,1738245000,4,13,email,newsletter,desktop,Chrome,United Kingdom,England,1,1,/home,0,/catalog/accessories,74603,/product/featured-item,106764
8000000938,9000000000000016,0,1735954620,6,1,organic,search-engine,mobile,Edge,Portugal,Lisbon,0,1,/catalog/electronics,0,/catalog/electronics,19342,,
8000003308,9000000000000017,1,1737290220,7,12,referral,partner.example,desktop,Firefox,Germany,Berlin,0,2,/home,0,/product/featured-item,86696,/catalog/accessories,101595
8000001019,9000000000000018,1,1736442960,4,17,referral,partner.example,desktop,Chrome,Spain,Madrid,0,3,/catalog/apparel,0,/catalog/electronics,74132,/catalog/accessories,88965
8000000682,9000000000000019,1,1737287640,7,11,cpc,paid-media,desktop,Edge,Germany,Berlin,0,1,/catalog/electronics,0,,,,
8000001169,9000000000000020,0,1737352920,1,6,(none),(direct),mobile,Chrome,Germany,Berlin,0,1,/catalog/electronics,0,/catalog/electronics,73066,/catalog/accessories,83055
8000002060,9000000000000021,1,1737778020,6,4,referral,partner.example,desktop,Safari,United Kingdom,England,0,1,/home,0,/catalog/accessories,32828,/catalog/accessories,87751
8000002537,9000000000000022,1,1736011920,6,17,cpc,paid-media,mobile,Firefox,United Kingdom,England,0,1,/home,0,/catalog/electronics,53876,/product/featured-item,73030
8000000039,9000000000000023,0,1737491640,2,20,(none),(direct),tablet,Safari,Portugal,Lisbon,0,1,/catalog/apparel,0,/catalog/accessories,47745,,
8000001795,9000000000000024,1,1737825600,6,17,email,newsletter,mobile,Chrome,United Kingdom,England,0,2,/catalog/apparel,0,/basket,19601,/catalog/accessories,56265
8000001116,9000000000000025,0,1736797500,1,19,(none),(direct),desktop,Chrome,France,Ile-de-France,0,1,/catalog/electronics,0,/checkout,34914,,
8000003398,9000000000000026,0,1736777520,1,14,organic,search-engine,desktop,Edge,Spain,Madrid,0,1,/home,0,,,,
8000000309,9000000000000027,1,1736275680,2,18,(none),(direct),desktop,Safari,France,Ile-de-France,0,1,/catalog/accessories,0,/catalog/accessories,7229,/catalog/accessories,127052
8000003196,9000000000000028,1,1737891120,7,11,cpc,paid-media,tablet,Safari,Spain,Madrid,0,2,/home,0,,,,
8000000735,9000000000000029,0,1736995800,4,2,cpc,paid-media,mobile,Edge,Spain,Madrid,0,1,/catalog/apparel,0,/checkout,31154,/catalog/accessories,59312
8000000914,9000000000000030,1,1735782600,4,1,referral,partner.example,desktop,Edge,France,Ile-de-France,0,1,/product/featured-item,0,,,,
8000001357,9000000000000031,1,1735798080,4,6,organic,search-engine,mobile,Chrome,France,Ile-de-France,0,1,/product/featured-item,0,/catalog/electronics,43114,/checkout,102313
8000000779,9000000000000032,1,1736691180,7,14,organic,search-engine,mobile,Edge,Portugal,Lisbon,0,1,/catalog/accessories,0,/basket,89900,,
8000002553,9000000000000033,1,1736923920,3,6,organic,search-engine,mobile,Edge,France,Ile-de-France,0,1,/catalog/apparel,0,/checkout,74667,/basket,93350
8000002522,9000000000000034,1,1737927360,7,21,email,newsletter,desktop,Safari,Portugal,Lisbon,0,1,/catalog/apparel,0,/catalog/accessories,44237,/checkout,107183
8000002699,9000000000000035,1,1736023020,6,20,email,newsletter,desktop,Chrome,United Kingdom,England,0,1,/catalog/electronics,0,/catalog/accessories,28100,,
8000002504,9000000000000036,1,1735975920,6,7,cpc,paid-media,desktop,Chrome,United Kingdom,England,0,2,/catalog/apparel,0,/checkout,87990,/basket,180118
8000000721,9000000000000037,1,1737726240,5,13,cpc,paid-media,desktop,Edge,Spain,Madrid,0,1,/product/featured-item,0,,,,
8000002439,9000000000000038,1,1736937240,3,10,cpc,paid-media,mobile,Safari,United Kingdom,England,0,2,/catalog/accessories,0,/basket,64216,/catalog/electronics,125207
8000003137,9000000000000039,1,1737739380,5,17,cpc,paid-media,mobile,Safari,France,Ile-de-France,0,1,/catalog/apparel,0,/checkout,72798,/product/featured-item,85359
8000002894,9000000000000040,1,1736530860,5,17,organic,search-engine,desktop,Edge,France,Ile-de-France,0,1,/catalog/accessories,0,/product/featured-item,78556,/basket,171719
8000001224,9000000000000041,1,1737223080,6,17,cpc,paid-media,desktop,Firefox,United Kingdom,England,0,1,/home,0,,,,
8000001593,9000000000000042,1,1737011280,4,7,cpc,paid-media,mobile,Edge,Germany,Berlin,0,1,/home,0,,,,
8000000344,9000000000000043,0,1738216980,4,6,cpc,paid-media,desktop,Firefox,Germany,Berlin,0,2,/catalog/electronics,0,/catalog/electronics,46236,/catalog/electronics,148011
8000001034,9000000000000044,0,1736011620,6,17,cpc,paid-media,desktop,Safari,United Kingdom,England,0,1,/home,0,/catalog/electronics,87426,/catalog/accessories,94702
