English,Positive,Negative
a+,1,0
abound,1,0
abounds,1,0
abundance,1,0
abundant,1,0
accessable,1,0
accessible,1,0
acclaim,1,0
acclaimed,1,0
acclamation,1,0
accolade,1,0
accolades,1,0
accommodative,1,0
accomodative,1,0
accomplish,1,0
accomplished,1,0
accomplishment,1,0
accomplishments,1,0
accurate,1,0
accurately,1,0
achievable,1,0
achievement,1,0
achievements,1,0
achievible,1,0
acumen,1,0
adaptable,1,0
adaptive,1,0
adequate,1,0
adjustable,1,0
admirable,1,0
admirably,1,0
admiration,1,0
admire,1,0
admirer,1,0
admiring,1,0
admiringly,1,0
adorable,1,0
adore,1,0
adored,1,0
adorer,1,0
adoring,1,0
adoringly,1,0
adroit,1,0
adroitly,1,0
adulate,1,0
adulation,1,0
adulatory,1,0
advanced,1,0
advantage,1,0
advantageous,1,0
advantageously,1,0
advantages,1,0
adventuresome,1,0
adventurous,1,0
advocate,1,0
advocated,1,0
advocates,1,0
affability,1,0
affable,1,0
affably,1,0
affectation,1,0
affection,1,0
affectionate,1,0
affinity,1,0
affirm,1,0
affirmation,1,0
affirmative,1,0
affluence,1,0
affluent,1,0
afford,1,0
affordable,1,0
affordably,1,0
afordable,1,0
agile,1,0
agilely,1,0
agility,1,0
agreeable,1,0
agreeableness,1,0
agreeably,1,0
all-around,1,0
alluring,1,0
alluringly,1,0
altruistic,1,0
altruistically,1,0
amaze,1,0
amazed,1,0
amazement,1,0
amazes,1,0
amazing,1,0
amazingly,1,0
ambitious,1,0
ambitiously,1,0
ameliorate,1,0
amenable,1,0
amenity,1,0
amiability,1,0
amiabily,1,0
amiable,1,0
amicability,1,0
amicable,1,0
amicably,1,0
amity,1,0
ample,1,0
amply,1,0
amuse,1,0
amusing,1,0
amusingly,1,0
angel,1,0
angelic,1,0
apotheosis,1,0
appeal,1,0
appealing,1,0
applaud,1,0
appreciable,1,0
appreciate,1,0
appreciated,1,0
appreciates,1,0
appreciative,1,0
appreciatively,1,0
appropriate,1,0
approval,1,0
approve,1,0
ardent,1,0
ardently,1,0
ardor,1,0
articulate,1,0
aspiration,1,0
aspirations,1,0
aspire,1,0
assurance,1,0
assurances,1,0
assure,1,0
assuredly,1,0
assuring,1,0
astonish,1,0
astonished,1,0
astonishing,1,0
astonishingly,1,0
astonishment,1,0
astound,1,0
astounded,1,0
astounding,1,0
astoundingly,1,0
astutely,1,0
attentive,1,0
attraction,1,0
attractive,1,0
attractively,1,0
attune,1,0
audible,1,0
audibly,1,0
auspicious,1,0
authentic,1,0
authoritative,1,0
autonomous,1,0
available,1,0
aver,1,0
avid,1,0
avidly,1,0
award,1,0
awarded,1,0
awards,1,0
awe,1,0
awed,1,0
awesome,1,0
awesomely,1,0
awesomeness,1,0
awestruck,1,0
awsome,1,0
backbone,1,0
balanced,1,0
bargain,1,0
beauteous,1,0
beautiful,1,0
beautifullly,1,0
beautifully,1,0
beautify,1,0
beauty,1,0
beckon,1,0
beckoned,1,0
beckoning,1,0
beckons,1,0
believable,1,0
believeable,1,0
beloved,1,0
benefactor,1,0
beneficent,1,0
beneficial,1,0
beneficially,1,0
beneficiary,1,0
benefit,1,0
benefits,1,0
benevolence,1,0
benevolent,1,0
benifits,1,0
best,1,0
best-known,1,0
best-performing,1,0
best-selling,1,0
better,1,0
better-known,1,0
better-than-expected,1,0
beutifully,1,0
blameless,1,0
bless,1,0
blessing,1,0
bliss,1,0
blissful,1,0
blissfully,1,0
blithe,1,0
blockbuster,1,0
bloom,1,0
blossom,1,0
bolster,1,0
bonny,1,0
bonus,1,0
bonuses,1,0
boom,1,0
booming,1,0
boost,1,0
boundless,1,0
bountiful,1,0
brainiest,1,0
brainy,1,0
brand-new,1,0
brave,1,0
bravery,1,0
bravo,1,0
breakthrough,1,0
breakthroughs,1,0
breathlessness,1,0
breathtaking,1,0
breathtakingly,1,0
breeze,1,0
bright,1,0
brighten,1,0
brighter,1,0
brightest,1,0
brilliance,1,0
brilliances,1,0
brilliant,1,0
brilliantly,1,0
brisk,1,0
brotherly,1,0
bullish,1,0
buoyant,1,0
cajole,1,0
calm,1,0
calming,1,0
calmness,1,0
capability,1,0
capable,1,0
capably,1,0
captivate,1,0
captivating,1,0
carefree,1,0
cashback,1,0
cashbacks,1,0
catchy,1,0
celebrate,1,0
celebrated,1,0
celebration,1,0
celebratory,1,0
champ,1,0
champion,1,0
charisma,1,0
charismatic,1,0
charitable,1,0
charm,1,0
charming,1,0
charmingly,1,0
chaste,1,0
cheaper,1,0
cheapest,1,0
cheer,1,0
cheerful,1,0
cheery,1,0
cherish,1,0
cherished,1,0
cherub,1,0
chic,1,0
chivalrous,1,0
chivalry,1,0
civility,1,0
civilize,1,0
clarity,1,0
classic,1,0
classy,1,0
clean,1,0
cleaner,1,0
cleanest,1,0
cleanliness,1,0
cleanly,1,0
clear,1,0
clear-cut,1,0
cleared,1,0
clearer,1,0
clearly,1,0
clears,1,0
clever,1,0
cleverly,1,0
cohere,1,0
coherence,1,0
coherent,1,0
cohesive,1,0
colorful,1,0
comely,1,0
comfort,1,0
comfortable,1,0
comfortably,1,0
comforting,1,0
comfy,1,0
commend,1,0
commendable,1,0
commendably,1,0
commitment,1,0
commodious,1,0
compact,1,0
compactly,1,0
compassion,1,0
compassionate,1,0
compatible,1,0
competitive,1,0
complement,1,0
complementary,1,0
complemented,1,0
complements,1,0
compliant,1,0
compliment,1,0
complimentary,1,0
comprehensive,1,0
conciliate,1,0
conciliatory,1,0
concise,1,0
confidence,1,0
confident,1,0
congenial,1,0
congratulate,1,0
congratulation,1,0
congratulations,1,0
congratulatory,1,0
conscientious,1,0
considerate,1,0
consistent,1,0
consistently,1,0
constructive,1,0
consummate,1,0
contentment,1,0
continuity,1,0
contrasty,1,0
contribution,1,0
convenience,1,0
convenient,1,0
conveniently,1,0
convience,1,0
convienient,1,0
convient,1,0
convincing,1,0
convincingly,1,0
cool,1,0
coolest,1,0
cooperative,1,0
cooperatively,1,0
cornerstone,1,0
correct,1,0
